,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 x,All-Distilroberta-v1 y,all-mpnet-base-v2 k-mean,all-MiniLM-L12-v2 k-mean,All-Distilroberta-v1 k-mean,all-mpnet-base-v2 aglo,all-MiniLM-L12-v2 aglo,All-Distilroberta-v1 aglo
32,32,I don't have the discipline to diet.,all-or-nothing thinking,dont discipline diet,-6.846613,11.37264,14.080096,8.142284,-1.1723565,0.7736226,9,9,10,2,3,4
33,33,He does not appreciate anything I do for him.,"overgeneralizing,all-or-nothing thinking,blaming",appreciate anything,1.8667322,6.153542,2.0167785,4.24905,14.772377,8.143419,1,16,17,0,2,1
34,34,I'm wasting all my time,all-or-nothing thinking,im wasting time,14.446463,8.6185055,6.894914,7.7324033,-1.1014197,7.0029373,15,0,2,2,2,0
35,35,A good mother spends time with her kids on some activity every night,overgeneralizing,good mother spends time kid activity every night,9.941626,-0.043122057,4.275629,9.611015,11.823716,1.6045682,14,12,9,1,2,2
36,36,Self worth,comparing and despairing,self worth,8.917415,11.259627,1.1135383,0.26878387,-1.0360422,6.873235,11,2,2,2,0,0
37,37,I should have never worn these jeans and stick to blue ones,should statements,never worn jean stick blue one,10.331489,0.11291168,7.541994,9.358221,5.902543,12.239419,0,0,13,1,3,3
38,38,I am not good enough for anyone.,"labeling,all-or-nothing thinking",good enough anyone,11.665016,7.8711195,7.033118,2.4026709,-2.1889243,4.249967,15,17,4,2,0,4
39,39,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"blaming,should statements",thought studied harder knew enough information would pas matter standard changed fault didnt try hard enough furious,12.238634,4.7950525,11.132915,8.290689,-8.37651,7.0115395,8,5,12,1,3,0
40,40,"I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.",disqualifying the positive,felt talent effort unrecognized company yet perfectly happy accept hard work pay deserve,12.029421,-0.5993286,2.7547653,5.099731,-2.769646,10.350283,16,3,5,1,2,0
41,41,I won't find someone I can be with,"catastrophizing,all-or-nothing thinking",wont find someone,4.4897184,12.099405,-2.806657,-4.856975,9.522641,4.3069515,4,8,16,0,0,2
42,42,I'm not good enough for her.,"negative feeling or emotion,emotional reasoning",im good enough,2.9991934,1.1518974,-4.5294685,10.269052,11.311823,7.627307,13,1,3,0,4,1
43,43,She doesn't love me like she used to.,"personalizing,labeling",doesnt love like used,2.8897803,0.31761461,-5.397753,9.934908,15.715435,3.437478,13,1,8,0,4,1
44,44,He is selfish,labeling,selfish,4.8854327,8.786977,5.0276914,3.213093,14.855087,9.983571,1,16,17,0,0,1
45,45,My grades are important and I did poorly,disqualifying the positive,grade important poorly,12.492307,6.8772135,11.246853,8.108631,-8.811358,7.1301103,8,5,12,2,3,0
46,46,I should have been perfect,should statements,perfect,12.149669,1.2941911,7.223225,8.905826,-1.7736192,8.580361,0,0,6,1,3,0
47,47,She will never love me now,"fortune telling,catastrophizing,mind reading",never love,2.7883914,0.48962894,-5.5736423,10.573807,15.66003,3.3696756,13,1,8,0,4,1
48,48,Maybe she doesn't want to talk to me anymore.,"mind reading,fortune telling",maybe doesnt want talk anymore,1.7018523,0.5974454,-5.316745,9.723085,15.830497,4.83781,13,1,8,0,4,1
49,49,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,mind reading,maybe doesnt really like much thought like maybe im awkward,1.7498895,0.55483836,-5.3859115,9.193888,15.85328,4.6886415,13,1,8,0,4,1
50,50,My marriage is over.,catastrophizing,marriage,4.324847,4.2822156,-0.38020355,1.7956536,13.111993,1.8165755,1,16,8,0,0,1
51,51,I am a problem.,labeling,problem,8.476464,10.561044,7.2753506,2.4307058,-1.0650364,6.9475017,11,4,2,2,0,0
52,52,I'm worthless,all-or-nothing thinking,im worthless,8.623754,11.129821,8.808285,-0.31503272,-1.0747701,6.8896976,11,2,2,2,1,0
53,53,i have no stable identity and I dont know why or if its normal,overgeneralizing,stable identity dont know normal,12.195897,11.346163,10.832274,-2.5518389,5.439031,0.5162173,2,11,14,2,1,2
54,54,Why isn't this kid applying himself?,all-or-nothing thinking,isnt kid applying,5.6784263,4.547187,10.786937,8.4660425,11.122814,7.707714,14,5,15,1,3,1
55,55,My coworkers are making fun of me now,"mind reading,negative feeling or emotion,catastrophizing",coworkers making fun,3.6359522,5.32157,-1.428874,4.8118906,6.95515,11.511414,17,10,7,0,0,3
56,56,He shouldn't have taken it without asking me first.,blaming,shouldnt taken without asking first,3.6575375,5.282421,0.65462494,6.606039,14.744658,10.130084,1,16,17,0,2,1
57,57,I'm incompetent,labeling,im incompetent,11.882571,7.5292606,7.588834,6.3348403,-2.4409144,5.989759,15,17,4,2,2,0
58,58,I am a bad writer.,all-or-nothing thinking,bad writer,12.257185,3.7617917,11.384142,5.3917503,-5.7844286,5.8822913,8,5,12,1,1,0
59,59,Don't feel like I deserve fun/enjoyment,all-or-nothing thinking,dont feel like deserve funenjoyment,10.453699,11.639451,-0.104128994,1.0771015,6.8093243,2.617782,2,8,2,2,0,2
60,60,They hate me.,"mind reading,negative feeling or emotion,fortune telling,magnification",hate,4.3172584,6.025727,-0.073890105,1.0384725,9.189884,7.183369,17,4,7,0,0,3
61,61,Getting abused was my fault,disqualifying the positive,getting abused fault,10.734975,2.9062023,2.267553,7.5903587,8.982,7.127416,0,6,11,1,2,3
62,62,I didn't do as good a job as I thought,disqualifying the positive,didnt good job thought,12.074317,2.1326723,5.411529,6.895186,-6.5577993,7.484617,16,3,12,1,2,0
63,63,I felt like a failure and am ashamed I made this mistake,"all-or-nothing thinking,negative feeling or emotion",felt like failure ashamed made mistake,12.117336,4.1005626,7.237248,7.586937,-2.220984,7.73141,15,0,6,1,2,0
64,64,Nobody cares what I have to say,overgeneralizing,nobody care say,6.208038,10.57951,0.9867941,0.41195208,7.298439,4.1694384,10,4,16,0,0,2
65,65,I am a burden.,labeling,burden,8.369964,10.869011,9.410686,-0.2275789,-1.04344,6.9551277,11,2,2,2,1,0
66,66,I'll never be able to do anything,disqualifying the positive,ill never able anything,14.7136545,8.229769,8.993109,3.169856,-3.0069153,4.83103,15,17,1,2,1,0
67,67,I am failing as a parent,"labeling,personalizing,catastrophizing",failing parent,9.790388,0.4706568,4.3016276,9.476996,12.266598,1.7746631,14,12,9,1,2,2
68,68,I won't get paid,"fortune telling,catastrophizing,negative feeling or emotion",wont get paid,17.48002,0.88200426,4.910738,3.5490527,-3.314038,7.7501783,5,7,1,1,0,0
69,69,I forgot something important. Again. My boss is going to kill me.,"catastrophizing,fortune telling",forgot something important bos going kill,14.0572605,1.192674,2.091507,8.392935,-2.6674228,11.299241,7,3,6,1,2,0
70,70,I feel like a failure,labeling,feel like failure,11.616271,7.870447,12.852861,4.352143,-1.9319603,5.701748,15,14,4,2,1,0
71,71,why can't I ever get anything I want,all-or-nothing thinking,cant ever get anything want,13.643162,8.426581,8.160267,2.3948274,-2.5343108,3.8536377,15,17,4,2,0,4
72,72,I'm not succeeding,all-or-nothing thinking,im succeeding,14.403885,8.724706,10.64013,3.9313946,-2.2673635,3.8788352,15,14,4,2,1,4
73,73,I feel like I need to die to be happy.,disqualifying the positive,feel like need die happy,11.054546,12.134689,11.004685,-1.1098636,5.698267,1.3006893,2,15,14,2,1,2
74,74,i am a terrible mom,negative feeling or emotion,terrible mom,10.312138,0.026049046,4.3120475,9.784418,11.313443,1.5237422,14,12,9,1,2,2
75,75,I am responsible for her mistakes.,blaming,responsible mistake,4.2847443,4.1392975,2.2161222,8.634292,13.910805,2.020704,13,6,15,0,2,1
76,76,Why did I overact like this,catastrophizing,overact like,12.083413,1.8499721,7.029158,8.636886,6.5211864,11.550789,0,0,11,1,3,3
77,77,He's so damn inconsiderate,labeling,he damn inconsiderate,4.7331223,8.477527,2.0666082,4.3024797,15.245368,10.148519,1,16,17,0,2,1
78,78,I messed up big time.,catastrophizing,messed big time,12.315223,2.2944496,4.225472,8.6534605,-1.883884,8.296526,0,0,6,1,2,0
79,79,I wasn't valued as much as the other person.,personalizing,wasnt valued much person,11.519513,-0.4666102,0.6574143,0.5997355,6.920203,11.157857,16,2,11,1,0,3
80,80,they should have reminded me before I forgot,should statements,reminded forgot,13.812443,1.478874,6.6543937,8.2919035,-2.7613807,11.250817,7,0,6,1,2,0
81,81,I am the cause of the breakup,personalizing,cause breakup,4.420114,8.334679,-1.544055,0.92266977,12.579344,1.5907696,10,16,0,0,0,2
82,82,There was no need to even say anything it was very minor.,"magnification,negative feeling or emotion",need even say anything minor,9.275882,-0.672885,0.036457818,8.031982,7.096486,12.34346,16,6,11,1,2,3
83,83,I worried that she might break up with me and that I'd never see her again.,"catastrophizing,overgeneralizing,fortune telling,negative feeling or emotion,all-or-nothing thinking,mind reading",worried might break id never see,2.3231668,0.7296466,-5.475832,10.735426,15.166573,2.762806,13,1,8,0,4,1
84,84,I'm being mean to someone I love,labeling,im mean someone love,4.439165,4.3735185,-1.4638128,1.6003928,13.339529,8.597607,13,8,3,0,0,1
85,85,I could have done so much better,"personalizing,all-or-nothing thinking",could done much better,12.05742,1.890637,6.9520216,8.604292,-2.1165903,8.019775,0,0,6,1,3,0
86,86,I'm working on this as fast as I possibly can,comparing and despairing,im working fast possibly,15.764049,3.0163338,6.8969674,7.133316,-4.188926,10.696728,15,17,6,2,2,0
87,87,I never get to see her anymore.,disqualifying the positive,never get see anymore,2.859175,0.4855309,-5.382773,10.742239,15.663887,3.3348095,13,1,8,0,4,1
88,88,they don't really like me,mind reading,dont really like,4.262392,5.999735,-1.0394261,2.2881956,9.44022,7.679879,17,10,7,0,0,3
89,89,Something will go wrong on my flight today,fortune telling,something go wrong flight today,15.882865,2.7316513,5.1783137,6.603688,-2.0183225,9.871826,6,3,6,2,2,0
90,90,I’ll never be able to hold a job.,catastrophizing,ill never able hold job,15.8981,1.3232678,7.1691313,2.4822483,-3.2345972,6.4330306,5,7,1,1,0,0
91,91,"I really have to pass, I need to work.",negative feeling or emotion,really pas need work,15.853293,3.0311315,11.690374,6.5938582,-7.996341,6.9380937,15,5,12,2,3,0
92,92,He is avoiding me,"mind reading,overgeneralizing,catastrophizing",avoiding,0.97888535,6.112408,-1.5403312,4.1198325,14.758326,8.088992,1,16,3,0,0,1
93,93,I feel like a bad wife and mom,"emotional reasoning,labeling",feel like bad wife mom,10.162374,0.5083075,4.3530707,9.809254,9.001933,0.7875294,14,12,9,1,2,2
94,94,I should have made time for them.,mind reading,made time,13.725983,1.509149,6.8671412,8.526601,-2.4753997,10.070879,7,0,6,1,3,0
95,95,I am selfish,labeling,selfish,8.296477,10.885395,0.85498357,0.09787712,7.3559775,4.4927254,11,4,2,2,0,3
96,96,They will never want to go out with me,labeling,never want go,4.238356,8.089279,-2.1016514,2.9288023,9.551502,7.6968727,17,10,7,0,0,3
97,97,Everyone is more important than me,"comparing and despairing,disqualifying the positive",everyone important,6.295923,10.511702,1.0604331,0.33244857,7.3073773,4.398169,10,4,2,0,0,3
98,98,I just can't get moving,negative feeling or emotion,cant get moving,14.007905,9.971324,10.975535,-1.7216027,-1.716935,3.9591482,15,2,4,2,1,4
99,99,I'm a failure and can't keep a sales person job.,"all-or-nothing thinking,labeling",im failure cant keep sale person job,15.830104,0.6245209,7.3807225,2.5141046,-3.193403,7.696635,5,7,1,1,0,0
100,100,I'm everything I can and I still feel like shit,disqualifying the positive,im everything still feel like shit,11.756665,11.497434,9.754842,-1.0195426,4.886908,1.1226189,2,2,14,2,1,2
101,101,I am crazy.,labeling,crazy,13.144035,10.90633,10.759762,-3.5678778,6.0451603,-1.1656593,6,11,14,2,1,2
102,102,"I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.",fortune telling,never get break every time try make positive change life something happens ruin,13.825534,9.649091,9.548493,-0.49803883,-1.5263054,4.70774,15,2,4,2,1,4
103,103,it's all my fault,all-or-nothing thinking,fault,10.689022,2.802431,2.7385404,7.8156753,8.904409,6.358227,0,6,2,1,2,3
104,104,I want to die,negative feeling or emotion,want die,10.542625,14.336401,10.890797,-2.2271783,5.72084,1.3306515,2,11,14,2,1,2
105,105,That I'm going to fail,catastrophizing,im going fail,12.678872,6.0206566,13.213619,4.557282,-6.8960476,6.68603,8,14,12,2,1,0
106,106,I keep failing at this,"overgeneralizing,fortune telling,all-or-nothing thinking,negative feeling or emotion,labeling,should statements,catastrophizing,magnification",keep failing,14.492295,8.366654,13.078196,4.423309,-2.7473016,3.9541178,15,14,4,2,1,4
107,107,People will never perceive me as acting naturally in social situations.,"fortune telling,overgeneralizing",people never perceive acting naturally social situation,5.7228413,4.925922,-0.056401223,1.9841033,-1.096845,7.423684,17,10,1,2,0,0
108,108,I'm mad at myself for being careless,"emotional reasoning,labeling,negative feeling or emotion",im mad careless,12.881437,1.520745,6.253482,7.245356,-1.8874351,9.509434,0,0,6,1,2,0
109,109,I'm scared to present in front of other people and I panic,disqualifying the positive,im scared present front people panic,15.431699,3.3209527,12.480942,4.278599,-1.0224771,7.50022,6,15,7,2,1,0
110,110,I made a deadline and missed it.,negative feeling or emotion,made deadline missed,13.894473,1.4073601,4.0118175,8.54049,-3.8916514,10.818538,7,3,6,1,2,0
111,111,I screwed up again at work,"negative feeling or emotion,all-or-nothing thinking",screwed work,13.244323,1.368541,3.888091,8.606244,-2.4368935,10.0393505,0,3,6,1,2,0
112,112,I shouldn't have posted it,personalizing,shouldnt posted,11.559452,0.30528477,7.5694165,9.284135,6.1129003,12.348514,0,0,13,1,3,3
113,113,I didn't explain this right.,overgeneralizing,didnt explain right,12.639512,3.572618,7.438061,6.877281,-2.345613,7.598157,0,17,6,1,2,0
114,114,I will never get a job.,fortune telling,never get job,15.857719,0.9335127,7.237201,2.4735775,-3.2688677,6.3644943,5,7,1,1,0,0
115,115,"I should have studied harder, or more efficiently.","should statements,negative feeling or emotion",studied harder efficiently,12.32459,4.946964,11.11648,8.298276,-8.0274,6.916069,8,5,12,1,3,0
116,116,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,emotional reasoning,felt personal self attack needed retaliate denying attack,7.3059053,-0.8829488,-0.4981031,6.989224,7.6121173,11.298671,16,6,11,1,2,3
117,117,My friend is going to be angry with me,mind reading,friend going angry,3.4854639,5.3678174,-1.1691939,5.1034603,13.414966,8.562116,10,16,3,0,0,1
118,118,I am not the kind of person that she would like to go out with.,"mind reading,all-or-nothing thinking",kind person would like go,4.0418444,12.539824,-5.4519057,8.8332615,10.9435,7.686117,4,1,16,0,4,1
119,119,No one cares about me,negative feeling or emotion,one care,5.9855685,10.442178,0.9153526,0.41317824,7.3114996,4.081212,10,4,16,0,0,2
120,120,My friend doesn't like me anymore.,mind reading,friend doesnt like anymore,2.2090948,1.1484008,-5.1601524,7.892948,14.052223,7.8077884,13,1,3,0,0,1
121,121,It must be my fault,personalizing,must fault,10.738832,2.8159258,5.281945,6.767471,7.419047,4.7443967,0,6,2,1,2,3
122,122,My friends aren't interested in my game idea,"mind reading,personalizing,negative feeling or emotion,fortune telling",friend arent interested game idea,2.8489592,5.927269,-1.7659738,2.3514385,9.165003,8.539068,17,10,7,0,0,3
123,123,I'm annoying and oversharing,"labeling,overgeneralizing,negative feeling or emotion",im annoying oversharing,4.8153305,8.922813,-0.69369394,0.2043422,13.271941,8.707419,10,8,3,0,0,1
124,124,I cannot trust my sister anymore.,"blaming,negative feeling or emotion,overgeneralizing",cannot trust sister anymore,5.156365,-0.9840925,-1.1342797,9.360617,11.35371,7.620973,3,13,15,0,2,1
125,125,I will never become a successful writer,fortune telling,never become successful writer,12.724725,3.6330998,9.90072,4.17112,-5.679058,5.8122153,8,7,1,1,1,0
126,126,I shouldn't have changed my hair,should statements,shouldnt changed hair,10.092678,0.13461085,7.417686,9.24951,6.1554694,12.406851,0,0,13,1,3,3
127,127,I'm a fat ugly troll.,"labeling,comparing and despairing",im fat ugly troll,6.300487,10.806068,-0.82331866,-0.017999325,7.4851594,3.7715824,11,8,16,0,0,2
128,128,I am not good at what I do.,"all-or-nothing thinking,labeling,overgeneralizing,negative feeling or emotion,mind reading,personalizing",good,12.471358,6.9017963,8.311814,5.5798826,-2.8780255,4.27783,15,17,4,2,1,4
129,129,I am not interesting,"labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",interesting,5.72475,10.343384,-0.7327635,0.27359036,7.426769,4.730567,4,10,16,0,0,3
130,130,I'm boring,fortune telling,im boring,6.1152315,10.52959,-0.6055826,0.35719207,7.348439,4.6526895,11,10,16,0,0,3
131,131,I have lost all hope,negative feeling or emotion,lost hope,10.027407,10.769085,11.030711,-1.176663,5.4690113,1.6295617,15,15,2,2,1,2
132,132,I don't deserve to get better.,disqualifying the positive,dont deserve get better,10.455026,11.272418,7.9846334,2.0117316,-1.3829089,4.6635046,2,2,4,2,0,2
133,133,My job is worthless,all-or-nothing thinking,job worthless,15.790886,0.66365784,6.2448983,2.5699148,-2.3009527,7.530182,5,7,1,1,0,0
134,134,He shouldn't assign me a task if he doesn't trust my work.,negative feeling or emotion,shouldnt assign task doesnt trust work,12.453712,-0.44784555,1.9410917,8.437275,-2.589408,11.285203,16,3,5,1,2,0
135,135,I am not doing well enough to warrant working at this job.,all-or-nothing thinking,well enough warrant working job,16.35118,0.21273935,5.0919547,6.570515,-3.3558285,8.87963,5,7,1,1,2,0
136,136,My opinions aren't valuable.,"disqualifying the positive,all-or-nothing thinking,negative feeling or emotion",opinion arent valuable,6.041721,10.431759,-0.3220802,0.58431315,7.347097,4.643937,11,10,7,0,0,3
137,137,I can't sing.,"all-or-nothing thinking,negative feeling or emotion,fortune telling,overgeneralizing,labeling",cant sing,12.803561,7.751037,9.581007,3.3589396,-2.562189,3.8815227,15,2,4,2,1,4
138,138,Medication can be dangerous.,all-or-nothing thinking,medication dangerous,13.232773,3.7468154,13.160991,4.5494537,7.126561,0.13587256,6,15,14,1,1,2
139,139,I feel my friend used me.,mind reading,feel friend used,4.960356,5.5310025,-1.232884,5.351402,9.388474,8.125448,10,1,11,0,2,3
140,140,Grandma will be so angry at me,fortune telling,grandma angry,5.224104,-1.012779,0.7731355,9.254353,15.688173,3.7438512,3,13,15,0,2,1
141,141,My partner thinks I am lazy.,mind reading,partner think lazy,16.630434,2.0004601,2.557516,7.59944,14.990004,7.928373,7,12,17,2,2,1
142,142,I am will have to pay for this,catastrophizing,pay,17.032986,1.4194562,5.1397834,3.3496568,-2.2854323,7.5271616,7,7,1,1,0,0
143,143,I could get fired.,all-or-nothing thinking,could get fired,17.502508,0.89757377,5.072302,3.4552722,-3.4262705,9.072957,5,7,1,1,0,0
144,144,My boss must think I'm lazy.,mind reading,bos must think im lazy,16.016933,1.322371,2.5268052,8.025726,-2.2806766,11.356398,7,3,6,1,2,0
145,145,I should have ordered a milder dish,should statements,ordered milder dish,14.5960655,-1.224446,8.751592,10.219152,8.515956,11.083152,12,9,13,1,3,3
146,146,I am not good enough.,labeling,good enough,12.953337,7.8668303,7.9756255,2.419876,-2.2498507,4.23178,15,17,4,2,0,4
147,147,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.",personalizing,qualification experience job yet passed someone else le experience,12.166287,-0.6415282,0.5598605,6.5556636,-3.1859336,10.89849,16,3,5,1,2,0
148,148,I was angry because I was the better person for the job.,personalizing,angry better person job,11.50319,-0.6289171,0.14939849,6.859556,-2.2922459,11.297915,16,3,5,1,2,0
149,149,Why can't they cooperate on this?,"personalizing,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,blaming",cant cooperate,5.293876,4.431589,2.511781,4.999651,-4.113743,10.825007,17,3,6,1,2,0
150,150,It was unfair that I was the one to get in trouble for defending a weaker person.,all-or-nothing thinking,unfair one get trouble defending weaker person,9.196084,-0.7076061,-0.41745895,7.7206287,7.355999,11.647603,16,6,11,1,2,3
151,151,He's insulting me.,"mind reading,labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",he insulting,2.1412573,6.7025867,0.7052339,3.104176,13.613234,8.820865,1,16,3,0,2,1
152,152,My husband was being a jerk and not listening to me.,personalizing,husband jerk listening,4.2642355,4.2022376,1.035359,4.001916,15.675213,8.863637,1,16,17,0,2,1
153,153,Does he not care what I am saying?,"overgeneralizing,personalizing,blaming",care saying,2.4651577,7.402174,0.7646997,3.060178,15.009285,10.001847,1,16,3,0,2,1
154,154,What am I doing to deserve this?,emotional reasoning,deserve,10.70503,2.952839,-1.3593646,2.4130185,6.6068645,2.597534,0,8,2,1,0,2
155,155,I am the worst daughter in the world.,"labeling,all-or-nothing thinking,negative feeling or emotion",worst daughter world,9.897564,-0.029342994,4.1300974,9.684769,12.481369,1.6779455,14,12,9,1,2,2
156,156,I will be stuck in middle-management for the remainder of my career.,"catastrophizing,overgeneralizing,negative feeling or emotion",stuck middlemanagement remainder career,16.280472,0.10060192,6.974626,2.5328355,-3.4543672,7.9075966,5,7,1,1,0,0
157,157,He is going to hurt me,catastrophizing,going hurt,2.244888,7.642832,0.3352506,3.3925195,13.546057,8.5436125,1,16,3,0,2,1
158,158,Why are my friends treating me so harshly?,"negative feeling or emotion,blaming",friend treating harshly,3.109827,5.9597,-1.512735,2.4089448,9.595364,7.9181485,17,10,7,0,0,3
159,159,I don't make a memorable impression on people.,labeling,dont make memorable impression people,5.7161756,4.9360657,-1.3706126,2.9151149,8.645042,7.102581,17,10,7,2,0,3
160,160,I feel so anxious maybe I left something turned on in the kitchen,should statements,feel anxious maybe left something turned kitchen,16.471754,1.0611885,14.763543,8.422125,8.925366,10.032839,12,9,13,1,3,3
161,161,I worry too much,negative feeling or emotion,worry much,15.833629,3.0705094,13.00854,3.7681556,7.3584585,0.27142295,6,15,14,2,1,2
162,162,The kids will never settle down.,fortune telling,kid never settle,9.817253,0.03613353,7.4793262,2.419321,-3.3283331,5.1725454,14,7,1,1,0,0
