,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 x,All-Distilroberta-v1 y,all-mpnet-base-v2 k-mean,all-MiniLM-L12-v2 k-mean,All-Distilroberta-v1 k-mean,all-mpnet-base-v2 aglo,all-MiniLM-L12-v2 aglo,All-Distilroberta-v1 aglo,all-mpnet-base-v2 hdbscan_manual,all-MiniLM-L12-v2 hdbscan_manual,All-Distilroberta-v1 hdbscan_manual
12,12,I thought I was being taken advantage of.,"labeling,emotional reasoning",thought taken advantage,6.3731523,9.145754,6.3731523,9.145754,6.3731523,9.145754,3,6,11,1,2,3,-1,-1,1
13,13,I can't and never will escape this prison at my moms house,negative feeling or emotion,cant never escape prison mom house,8.35839,6.1537685,8.35839,6.1537685,8.35839,6.1537685,2,2,4,2,1,4,-1,-1,1
14,14,I'm not who I want to be. I hate my appearance and my voice.,labeling,im want hate appearance voice,7.508223,4.808561,7.508223,4.808561,7.508223,4.808561,11,4,14,2,1,2,7,-1,1
15,15,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,emotional reasoning,scared future life sorrow breakup didnt feel light overthinking,5.0855045,4.879824,5.0855045,4.879824,5.0855045,4.879824,6,15,0,2,1,2,-1,25,1
16,16,"If I don't sleep well one night due to panic attack, then I it will only get worse",fortune telling,dont sleep well one night due panic attack get worse,8.773046,5.239646,8.773046,5.239646,8.773046,5.239646,6,15,14,2,1,2,7,-1,1
17,17,I'm a failure,disqualifying the positive,im failure,8.384037,7.0836678,8.384037,7.0836678,8.384037,7.0836678,15,14,4,2,1,0,14,22,1
18,18,I am a hard person to love,labeling,hard person love,6.1231074,4.6434145,6.1231074,4.6434145,6.1231074,4.6434145,4,8,16,0,0,2,7,11,1
19,19,Someone please kill me,negative feeling or emotion,someone please kill,8.576791,5.133364,8.576791,5.133364,8.576791,5.133364,2,11,14,2,1,2,7,30,1
20,20,I hate everyone,negative feeling or emotion,hate everyone,6.2346745,5.6931744,6.2346745,5.6931744,6.2346745,5.6931744,17,4,16,0,0,3,7,33,1
21,21,I can't pay my bills.,negative feeling or emotion,cant pay bill,9.567356,8.977281,9.567356,8.977281,9.567356,8.977281,5,7,1,2,0,0,-1,26,1
22,22,I'll screw it over,fortune telling,ill screw,9.33786,7.12515,9.33786,7.12515,9.33786,7.12515,7,7,12,2,0,0,-1,26,-1
23,23,"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.",negative feeling or emotion,searching brain figure didnt like made sad think id hurt feeling caused problem,4.0550566,5.3039083,4.0550566,5.3039083,4.0550566,5.3039083,13,1,8,0,4,1,3,8,1
24,24,Fuck you,negative feeling or emotion,fuck,6.8037763,5.2946167,6.8037763,5.2946167,6.8037763,5.2946167,11,4,16,2,1,2,-1,32,1
25,25,I will get a bad grade.,"fortune telling,catastrophizing,all-or-nothing thinking",get bad grade,9.58983,7.33209,9.58983,7.33209,9.58983,7.33209,8,5,12,2,3,0,-1,7,1
26,26,Everything driving me nuts...,blaming,everything driving nut,7.752538,5.825303,7.752538,5.825303,7.752538,5.825303,11,11,4,2,1,0,7,28,1
27,27,I hate myself,all-or-nothing thinking,hate,7.717472,5.190815,7.717472,5.190815,7.717472,5.190815,11,4,14,2,1,2,7,32,1
28,28,Can not move have so much to do mind numb,negative feeling or emotion,move much mind numb,8.710865,5.117556,8.710865,5.117556,8.710865,5.117556,2,11,4,2,1,4,7,28,1
29,29,I am being annoying.,emotional reasoning,annoying,6.1685967,5.4712763,6.1685967,5.4712763,6.1685967,5.4712763,10,4,3,0,0,1,-1,11,1
30,30,I'm not attractive or have a good enough personality.,"labeling,negative feeling or emotion,mind reading,personalizing",im attractive good enough personality,6.0159407,4.066632,6.0159407,4.066632,6.0159407,4.066632,4,8,16,0,0,3,7,11,1
31,31,im unlovable,labeling,im unlovable,6.3491535,4.5296497,6.3491535,4.5296497,6.3491535,4.5296497,4,8,16,0,0,2,7,11,1
32,32,I don't have the discipline to diet.,all-or-nothing thinking,dont discipline diet,9.934747,5.7133718,9.934747,5.7133718,9.934747,5.7133718,9,9,10,2,3,4,0,1,0
33,33,He does not appreciate anything I do for him.,"overgeneralizing,all-or-nothing thinking,blaming",appreciate anything,3.1099122,6.8117137,3.1099122,6.8117137,3.1099122,6.8117137,1,16,17,0,2,1,4,8,1
34,34,I'm wasting all my time,all-or-nothing thinking,im wasting time,8.51609,6.9976764,8.51609,6.9976764,8.51609,6.9976764,15,0,2,2,2,0,-1,-1,1
35,35,A good mother spends time with her kids on some activity every night,overgeneralizing,good mother spends time kid activity every night,4.1848497,8.276938,4.1848497,8.276938,4.1848497,8.276938,14,12,9,1,2,2,5,17,1
36,36,Self worth,comparing and despairing,self worth,7.472822,5.238388,7.472822,5.238388,7.472822,5.238388,11,2,2,2,0,0,7,28,1
37,37,I should have never worn these jeans and stick to blue ones,should statements,never worn jean stick blue one,5.86391,8.680281,5.86391,8.680281,5.86391,8.680281,0,0,13,1,3,3,13,3,-1
38,38,I am not good enough for anyone.,"labeling,all-or-nothing thinking",good enough anyone,8.477906,6.7806673,8.477906,6.7806673,8.477906,6.7806673,15,17,4,2,0,4,-1,-1,1
39,39,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"blaming,should statements",thought studied harder knew enough information would pas matter standard changed fault didnt try hard enough furious,9.47776,7.860069,9.47776,7.860069,9.47776,7.860069,8,5,12,1,3,0,15,7,1
40,40,"I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.",disqualifying the positive,felt talent effort unrecognized company yet perfectly happy accept hard work pay deserve,7.75522,9.6017275,7.75522,9.6017275,7.75522,9.6017275,16,3,5,1,2,0,9,-1,-1
41,41,I won't find someone I can be with,"catastrophizing,all-or-nothing thinking",wont find someone,5.7369385,4.234434,5.7369385,4.234434,5.7369385,4.234434,4,8,16,0,0,2,7,12,1
42,42,I'm not good enough for her.,"negative feeling or emotion,emotional reasoning",im good enough,4.5202613,5.1420965,4.5202613,5.1420965,4.5202613,5.1420965,13,1,3,0,4,1,3,-1,-1
43,43,She doesn't love me like she used to.,"personalizing,labeling",doesnt love like used,4.0121393,5.183025,4.0121393,5.183025,4.0121393,5.183025,13,1,8,0,4,1,3,8,1
44,44,He is selfish,labeling,selfish,3.8048437,7.0306864,3.8048437,7.0306864,3.8048437,7.0306864,1,16,17,0,0,1,4,8,1
45,45,My grades are important and I did poorly,disqualifying the positive,grade important poorly,9.866964,7.704308,9.866964,7.704308,9.866964,7.704308,8,5,12,2,3,0,15,7,1
46,46,I should have been perfect,should statements,perfect,6.3716545,8.570759,6.3716545,8.570759,6.3716545,8.570759,0,0,6,1,3,0,13,-1,1
47,47,She will never love me now,"fortune telling,catastrophizing,mind reading",never love,4.187228,5.0622487,4.187228,5.0622487,4.187228,5.0622487,13,1,8,0,4,1,3,8,1
48,48,Maybe she doesn't want to talk to me anymore.,"mind reading,fortune telling",maybe doesnt want talk anymore,3.7794385,5.451517,3.7794385,5.451517,3.7794385,5.451517,13,1,8,0,4,1,3,8,1
49,49,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,mind reading,maybe doesnt really like much thought like maybe im awkward,3.8686152,5.471112,3.8686152,5.471112,3.8686152,5.471112,13,1,8,0,4,1,3,8,1
50,50,My marriage is over.,catastrophizing,marriage,2.9156306,7.398583,2.9156306,7.398583,2.9156306,7.398583,1,16,8,0,0,1,4,8,1
51,51,I am a problem.,labeling,problem,7.1206994,5.7329297,7.1206994,5.7329297,7.1206994,5.7329297,11,4,2,2,0,0,7,-1,-1
52,52,I'm worthless,all-or-nothing thinking,im worthless,7.481433,5.503917,7.481433,5.503917,7.481433,5.503917,11,2,2,2,1,0,7,28,1
53,53,i have no stable identity and I dont know why or if its normal,overgeneralizing,stable identity dont know normal,8.658425,4.7852025,8.658425,4.7852025,8.658425,4.7852025,2,11,14,2,1,2,7,-1,1
54,54,Why isn't this kid applying himself?,all-or-nothing thinking,isnt kid applying,3.732318,7.8583703,3.732318,7.8583703,3.732318,7.8583703,14,5,15,1,3,1,-1,-1,-1
55,55,My coworkers are making fun of me now,"mind reading,negative feeling or emotion,catastrophizing",coworkers making fun,5.771622,6.1485596,5.771622,6.1485596,5.771622,6.1485596,17,10,7,0,0,3,7,-1,1
56,56,He shouldn't have taken it without asking me first.,blaming,shouldnt taken without asking first,3.4836156,7.325292,3.4836156,7.325292,3.4836156,7.325292,1,16,17,0,2,1,4,8,1
57,57,I'm incompetent,labeling,im incompetent,8.245415,7.1584654,8.245415,7.1584654,8.245415,7.1584654,15,17,4,2,2,0,14,-1,1
58,58,I am a bad writer.,all-or-nothing thinking,bad writer,8.966674,8.194753,8.966674,8.194753,8.966674,8.194753,8,5,12,1,1,0,11,6,1
59,59,Don't feel like I deserve fun/enjoyment,all-or-nothing thinking,dont feel like deserve funenjoyment,8.207054,5.519287,8.207054,5.519287,8.207054,5.519287,2,8,2,2,0,2,7,4,1
60,60,They hate me.,"mind reading,negative feeling or emotion,fortune telling,magnification",hate,5.93719,5.9408593,5.93719,5.9408593,5.93719,5.9408593,17,4,7,0,0,3,7,-1,1
61,61,Getting abused was my fault,disqualifying the positive,getting abused fault,6.202058,7.2696095,6.202058,7.2696095,6.202058,7.2696095,0,6,11,1,2,3,-1,21,1
62,62,I didn't do as good a job as I thought,disqualifying the positive,didnt good job thought,6.9871736,8.492024,6.9871736,8.492024,6.9871736,8.492024,16,3,12,1,2,0,-1,5,1
63,63,I felt like a failure and am ashamed I made this mistake,"all-or-nothing thinking,negative feeling or emotion",felt like failure ashamed made mistake,7.8183618,7.476573,7.8183618,7.476573,7.8183618,7.476573,15,0,6,1,2,0,-1,-1,1
64,64,Nobody cares what I have to say,overgeneralizing,nobody care say,6.7063823,5.2689333,6.7063823,5.2689333,6.7063823,5.2689333,10,4,16,0,0,2,7,9,1
65,65,I am a burden.,labeling,burden,7.240491,5.586279,7.240491,5.586279,7.240491,5.586279,11,2,2,2,1,0,7,-1,-1
66,66,I'll never be able to do anything,disqualifying the positive,ill never able anything,8.4191475,6.746835,8.4191475,6.746835,8.4191475,6.746835,15,17,1,2,1,0,-1,23,1
67,67,I am failing as a parent,"labeling,personalizing,catastrophizing",failing parent,4.1269183,8.097286,4.1269183,8.097286,4.1269183,8.097286,14,12,9,1,2,2,5,-1,1
68,68,I won't get paid,"fortune telling,catastrophizing,negative feeling or emotion",wont get paid,9.110665,9.68206,9.110665,9.68206,9.110665,9.68206,5,7,1,1,0,0,10,26,1
69,69,I forgot something important. Again. My boss is going to kill me.,"catastrophizing,fortune telling",forgot something important bos going kill,7.480805,8.150588,7.480805,8.150588,7.480805,8.150588,7,3,6,1,2,0,13,36,1
70,70,I feel like a failure,labeling,feel like failure,8.25043,6.9280505,8.25043,6.9280505,8.25043,6.9280505,15,14,4,2,1,0,-1,22,1
71,71,why can't I ever get anything I want,all-or-nothing thinking,cant ever get anything want,8.027319,6.8240647,8.027319,6.8240647,8.027319,6.8240647,15,17,4,2,0,4,-1,23,1
72,72,I'm not succeeding,all-or-nothing thinking,im succeeding,8.751112,7.0179214,8.751112,7.0179214,8.751112,7.0179214,15,14,4,2,1,4,14,22,1
73,73,I feel like I need to die to be happy.,disqualifying the positive,feel like need die happy,8.504437,5.418097,8.504437,5.418097,8.504437,5.418097,2,15,14,2,1,2,7,-1,1
74,74,i am a terrible mom,negative feeling or emotion,terrible mom,4.273921,8.206487,4.273921,8.206487,4.273921,8.206487,14,12,9,1,2,2,5,17,1
75,75,I am responsible for her mistakes.,blaming,responsible mistake,4.567491,5.406277,4.567491,5.406277,4.567491,5.406277,13,6,15,0,2,1,3,-1,1
76,76,Why did I overact like this,catastrophizing,overact like,6.499653,8.207268,6.499653,8.207268,6.499653,8.207268,0,0,11,1,3,3,13,-1,-1
77,77,He's so damn inconsiderate,labeling,he damn inconsiderate,3.7603674,6.9858575,3.7603674,6.9858575,3.7603674,6.9858575,1,16,17,0,2,1,4,8,1
78,78,I messed up big time.,catastrophizing,messed big time,6.8237586,8.192177,6.8237586,8.192177,6.8237586,8.192177,0,0,6,1,2,0,13,-1,1
79,79,I wasn't valued as much as the other person.,personalizing,wasnt valued much person,7.390459,9.518512,7.390459,9.518512,7.390459,9.518512,16,2,11,1,0,3,9,-1,1
80,80,they should have reminded me before I forgot,should statements,reminded forgot,7.39339,7.974744,7.39339,7.974744,7.39339,7.974744,7,0,6,1,2,0,-1,-1,1
81,81,I am the cause of the breakup,personalizing,cause breakup,4.8707123,4.7410483,4.8707123,4.7410483,4.8707123,4.7410483,10,16,0,0,0,2,3,8,1
82,82,There was no need to even say anything it was very minor.,"magnification,negative feeling or emotion",need even say anything minor,6.4309688,9.056495,6.4309688,9.056495,6.4309688,9.056495,16,6,11,1,2,3,8,24,-1
83,83,I worried that she might break up with me and that I'd never see her again.,"catastrophizing,overgeneralizing,fortune telling,negative feeling or emotion,all-or-nothing thinking,mind reading",worried might break id never see,3.9415534,4.9344544,3.9415534,4.9344544,3.9415534,4.9344544,13,1,8,0,4,1,3,8,1
84,84,I'm being mean to someone I love,labeling,im mean someone love,4.7479877,5.7415085,4.7479877,5.7415085,4.7479877,5.7415085,13,8,3,0,0,1,-1,-1,1
85,85,I could have done so much better,"personalizing,all-or-nothing thinking",could done much better,6.7176223,8.556858,6.7176223,8.556858,6.7176223,8.556858,0,0,6,1,3,0,13,31,1
86,86,I'm working on this as fast as I possibly can,comparing and despairing,im working fast possibly,8.400529,7.692762,8.400529,7.692762,8.400529,7.692762,15,17,6,2,2,0,14,34,1
87,87,I never get to see her anymore.,disqualifying the positive,never get see anymore,4.24664,5.2119813,4.24664,5.2119813,4.24664,5.2119813,13,1,8,0,4,1,3,8,1
88,88,they don't really like me,mind reading,dont really like,5.8625,6.008196,5.8625,6.008196,5.8625,6.008196,17,10,7,0,0,3,7,14,1
89,89,Something will go wrong on my flight today,fortune telling,something go wrong flight today,7.095352,7.1335697,7.095352,7.1335697,7.095352,7.1335697,6,3,6,2,2,0,-1,-1,1
90,90,I’ll never be able to hold a job.,catastrophizing,ill never able hold job,9.213975,9.021533,9.213975,9.021533,9.213975,9.021533,5,7,1,1,0,0,10,26,1
91,91,"I really have to pass, I need to work.",negative feeling or emotion,really pas need work,8.342319,7.626093,8.342319,7.626093,8.342319,7.626093,15,5,12,2,3,0,-1,7,1
92,92,He is avoiding me,"mind reading,overgeneralizing,catastrophizing",avoiding,3.405962,6.285355,3.405962,6.285355,3.405962,6.285355,1,16,3,0,0,1,4,8,1
93,93,I feel like a bad wife and mom,"emotional reasoning,labeling",feel like bad wife mom,4.2480316,8.206692,4.2480316,8.206692,4.2480316,8.206692,14,12,9,1,2,2,5,17,1
94,94,I should have made time for them.,mind reading,made time,7.470707,7.77052,7.470707,7.77052,7.470707,7.77052,7,0,6,1,3,0,-1,27,1
95,95,I am selfish,labeling,selfish,6.805949,5.5884147,6.805949,5.5884147,6.805949,5.5884147,11,4,2,2,0,3,7,11,1
96,96,They will never want to go out with me,labeling,never want go,5.83786,5.825442,5.83786,5.825442,5.83786,5.825442,17,10,7,0,0,3,7,10,1
97,97,Everyone is more important than me,"comparing and despairing,disqualifying the positive",everyone important,6.6819,5.3203063,6.6819,5.3203063,6.6819,5.3203063,10,4,2,0,0,3,7,9,1
98,98,I just can't get moving,negative feeling or emotion,cant get moving,9.184321,6.4294424,9.184321,6.4294424,9.184321,6.4294424,15,2,4,2,1,4,14,28,1
99,99,I'm a failure and can't keep a sales person job.,"all-or-nothing thinking,labeling",im failure cant keep sale person job,8.95734,9.152748,8.95734,9.152748,8.95734,9.152748,5,7,1,1,0,0,10,26,1
100,100,I'm everything I can and I still feel like shit,disqualifying the positive,im everything still feel like shit,8.663254,5.67501,8.663254,5.67501,8.663254,5.67501,2,2,14,2,1,2,7,-1,1
101,101,I am crazy.,labeling,crazy,8.467403,4.240584,8.467403,4.240584,8.467403,4.240584,6,11,14,2,1,2,7,29,1
102,102,"I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.",fortune telling,never get break every time try make positive change life something happens ruin,8.705998,6.1177244,8.705998,6.1177244,8.705998,6.1177244,15,2,4,2,1,4,-1,28,1
103,103,it's all my fault,all-or-nothing thinking,fault,6.516033,7.363597,6.516033,7.363597,6.516033,7.363597,0,6,2,1,2,3,-1,-1,1
104,104,I want to die,negative feeling or emotion,want die,8.701516,5.3101435,8.701516,5.3101435,8.701516,5.3101435,2,11,14,2,1,2,7,30,1
105,105,That I'm going to fail,catastrophizing,im going fail,9.638254,7.367291,9.638254,7.367291,9.638254,7.367291,8,14,12,2,1,0,15,22,1
106,106,I keep failing at this,"overgeneralizing,fortune telling,all-or-nothing thinking,negative feeling or emotion,labeling,should statements,catastrophizing,magnification",keep failing,8.6986065,7.2264724,8.6986065,7.2264724,8.6986065,7.2264724,15,14,4,2,1,4,14,22,1
107,107,People will never perceive me as acting naturally in social situations.,"fortune telling,overgeneralizing",people never perceive acting naturally social situation,6.6085763,6.7734017,6.6085763,6.7734017,6.6085763,6.7734017,17,10,1,2,0,0,-1,14,-1
108,108,I'm mad at myself for being careless,"emotional reasoning,labeling,negative feeling or emotion",im mad careless,6.949341,8.059242,6.949341,8.059242,6.949341,8.059242,0,0,6,1,2,0,13,-1,1
109,109,I'm scared to present in front of other people and I panic,disqualifying the positive,im scared present front people panic,6.709923,7.106414,6.709923,7.106414,6.709923,7.106414,6,15,7,2,1,0,6,25,-1
110,110,I made a deadline and missed it.,negative feeling or emotion,made deadline missed,7.8692865,8.075468,7.8692865,8.075468,7.8692865,8.075468,7,3,6,1,2,0,-1,-1,1
111,111,I screwed up again at work,"negative feeling or emotion,all-or-nothing thinking",screwed work,7.1025906,8.161104,7.1025906,8.161104,7.1025906,8.161104,0,3,6,1,2,0,13,-1,1
112,112,I shouldn't have posted it,personalizing,shouldnt posted,6.0016823,8.85099,6.0016823,8.85099,6.0016823,8.85099,0,0,13,1,3,3,13,3,2
113,113,I didn't explain this right.,overgeneralizing,didnt explain right,7.033314,8.2407055,7.033314,8.2407055,7.033314,8.2407055,0,17,6,1,2,0,13,-1,1
114,114,I will never get a job.,fortune telling,never get job,9.227056,9.058538,9.227056,9.058538,9.227056,9.058538,5,7,1,1,0,0,10,26,1
115,115,"I should have studied harder, or more efficiently.","should statements,negative feeling or emotion",studied harder efficiently,9.253205,7.8420424,9.253205,7.8420424,9.253205,7.8420424,8,5,12,1,3,0,15,7,1
116,116,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,emotional reasoning,felt personal self attack needed retaliate denying attack,6.6140494,9.1747,6.6140494,9.1747,6.6140494,9.1747,16,6,11,1,2,3,8,24,1
117,117,My friend is going to be angry with me,mind reading,friend going angry,4.811378,6.193247,4.811378,6.193247,4.811378,6.193247,10,16,3,0,0,1,-1,8,1
118,118,I am not the kind of person that she would like to go out with.,"mind reading,all-or-nothing thinking",kind person would like go,5.7186146,3.8900857,5.7186146,3.8900857,5.7186146,3.8900857,4,1,16,0,4,1,7,8,1
119,119,No one cares about me,negative feeling or emotion,one care,6.285493,5.1730123,6.285493,5.1730123,6.285493,5.1730123,10,4,16,0,0,2,7,9,1
120,120,My friend doesn't like me anymore.,mind reading,friend doesnt like anymore,3.9091537,5.7162676,3.9091537,5.7162676,3.9091537,5.7162676,13,1,3,0,0,1,3,8,1
121,121,It must be my fault,personalizing,must fault,6.579191,7.4581103,6.579191,7.4581103,6.579191,7.4581103,0,6,2,1,2,3,-1,-1,1
122,122,My friends aren't interested in my game idea,"mind reading,personalizing,negative feeling or emotion,fortune telling",friend arent interested game idea,5.4390945,5.80101,5.4390945,5.80101,5.4390945,5.80101,17,10,7,0,0,3,7,16,1
123,123,I'm annoying and oversharing,"labeling,overgeneralizing,negative feeling or emotion",im annoying oversharing,6.23293,5.5310125,6.23293,5.5310125,6.23293,5.5310125,10,8,3,0,0,1,-1,11,1
124,124,I cannot trust my sister anymore.,"blaming,negative feeling or emotion,overgeneralizing",cannot trust sister anymore,4.4319654,6.9241924,4.4319654,6.9241924,4.4319654,6.9241924,3,13,15,0,2,1,3,19,1
125,125,I will never become a successful writer,fortune telling,never become successful writer,9.191519,8.357987,9.191519,8.357987,9.191519,8.357987,8,7,1,1,1,0,11,-1,1
126,126,I shouldn't have changed my hair,should statements,shouldnt changed hair,6.036031,8.647185,6.036031,8.647185,6.036031,8.647185,0,0,13,1,3,3,13,3,-1
127,127,I'm a fat ugly troll.,"labeling,comparing and despairing",im fat ugly troll,6.95491,4.6404705,6.95491,4.6404705,6.95491,4.6404705,11,8,16,0,0,2,7,11,-1
128,128,I am not good at what I do.,"all-or-nothing thinking,labeling,overgeneralizing,negative feeling or emotion,mind reading,personalizing",good,8.545661,7.238885,8.545661,7.238885,8.545661,7.238885,15,17,4,2,1,4,-1,-1,1
129,129,I am not interesting,"labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",interesting,6.48116,5.0816183,6.48116,5.0816183,6.48116,5.0816183,4,10,16,0,0,3,7,16,1
130,130,I'm boring,fortune telling,im boring,6.705448,5.0198812,6.705448,5.0198812,6.705448,5.0198812,11,10,16,0,0,3,7,-1,1
131,131,I have lost all hope,negative feeling or emotion,lost hope,8.356981,6.431987,8.356981,6.431987,8.356981,6.431987,15,15,2,2,1,2,-1,22,1
132,132,I don't deserve to get better.,disqualifying the positive,dont deserve get better,8.13186,5.998088,8.13186,5.998088,8.13186,5.998088,2,2,4,2,0,2,7,-1,1
133,133,My job is worthless,all-or-nothing thinking,job worthless,8.770237,9.301651,8.770237,9.301651,8.770237,9.301651,5,7,1,1,0,0,10,26,1
134,134,He shouldn't assign me a task if he doesn't trust my work.,negative feeling or emotion,shouldnt assign task doesnt trust work,7.491236,8.961385,7.491236,8.961385,7.491236,8.961385,16,3,5,1,2,0,-1,36,1
135,135,I am not doing well enough to warrant working at this job.,all-or-nothing thinking,well enough warrant working job,8.869603,9.416544,8.869603,9.416544,8.869603,9.416544,5,7,1,1,2,0,10,5,1
136,136,My opinions aren't valuable.,"disqualifying the positive,all-or-nothing thinking,negative feeling or emotion",opinion arent valuable,6.636654,5.2051,6.636654,5.2051,6.636654,5.2051,11,10,7,0,0,3,7,20,1
137,137,I can't sing.,"all-or-nothing thinking,negative feeling or emotion,fortune telling,overgeneralizing,labeling",cant sing,8.6256,6.8785324,8.6256,6.8785324,8.6256,6.8785324,15,2,4,2,1,4,-1,-1,1
138,138,Medication can be dangerous.,all-or-nothing thinking,medication dangerous,5.832323,6.992679,5.832323,6.992679,5.832323,6.992679,6,15,14,1,1,2,6,25,1
139,139,I feel my friend used me.,mind reading,feel friend used,5.0680575,5.9230194,5.0680575,5.9230194,5.0680575,5.9230194,10,1,11,0,2,3,-1,8,1
140,140,Grandma will be so angry at me,fortune telling,grandma angry,4.6527596,6.5664873,4.6527596,6.5664873,4.6527596,6.5664873,3,13,15,0,2,1,3,18,1
141,141,My partner thinks I am lazy.,mind reading,partner think lazy,7.927491,8.418855,7.927491,8.418855,7.927491,8.418855,7,12,17,2,2,1,-1,-1,1
142,142,I am will have to pay for this,catastrophizing,pay,9.422005,9.652405,9.422005,9.652405,9.422005,9.652405,7,7,1,1,0,0,10,26,1
143,143,I could get fired.,all-or-nothing thinking,could get fired,9.001504,9.818573,9.001504,9.818573,9.001504,9.818573,5,7,1,1,0,0,10,26,1
144,144,My boss must think I'm lazy.,mind reading,bos must think im lazy,8.013714,8.538341,8.013714,8.538341,8.013714,8.538341,7,3,6,1,2,0,13,-1,1
145,145,I should have ordered a milder dish,should statements,ordered milder dish,5.260062,9.38897,5.260062,9.38897,5.260062,9.38897,12,9,13,1,3,3,2,2,2
146,146,I am not good enough.,labeling,good enough,8.611623,6.9474463,8.611623,6.9474463,8.611623,6.9474463,15,17,4,2,0,4,14,-1,1
147,147,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.",personalizing,qualification experience job yet passed someone else le experience,7.895817,9.758275,7.895817,9.758275,7.895817,9.758275,16,3,5,1,2,0,-1,-1,-1
148,148,I was angry because I was the better person for the job.,personalizing,angry better person job,7.3795395,9.621869,7.3795395,9.621869,7.3795395,9.621869,16,3,5,1,2,0,9,-1,1
149,149,Why can't they cooperate on this?,"personalizing,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,blaming",cant cooperate,5.9807296,7.694486,5.9807296,7.694486,5.9807296,7.694486,17,3,6,1,2,0,-1,-1,1
150,150,It was unfair that I was the one to get in trouble for defending a weaker person.,all-or-nothing thinking,unfair one get trouble defending weaker person,6.5639787,9.272963,6.5639787,9.272963,6.5639787,9.272963,16,6,11,1,2,3,8,24,1
