,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 hdbscan_bayesian_optimisation,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 hdbscan_bayesian_optimisation,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 hdbscan_bayesian_optimisation,All-Distilroberta-v1 x,All-Distilroberta-v1 y
21,21,I can't pay my bills.,negative feeling or emotion,cant pay bill,3,9.567356,8.977281,3,8.513955,11.177195,2,5.145074,4.179199
22,22,I'll screw it over,fortune telling,ill screw,3,9.33786,7.12515,3,8.750904,10.804741,2,6.4754925,5.648752
23,23,"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.",negative feeling or emotion,searching brain figure didnt like made sad think id hurt feeling caused problem,3,4.0550566,5.3039083,3,4.186167,7.0225515,2,-0.16449457,6.545603
24,24,Fuck you,negative feeling or emotion,fuck,3,6.8037763,5.2946167,3,6.7098074,7.5512,2,2.6222823,5.078728
25,25,I will get a bad grade.,"fortune telling,catastrophizing,all-or-nothing thinking",get bad grade,3,9.58983,7.33209,3,10.39098,9.453775,2,6.446382,6.182445
26,26,Everything driving me nuts...,blaming,everything driving nut,3,7.752538,5.825303,3,8.344613,7.9429955,2,4.774286,6.217922
27,27,I hate myself,all-or-nothing thinking,hate,3,7.717472,5.190815,3,6.761485,7.7968564,2,3.0587795,4.395408
28,28,Can not move have so much to do mind numb,negative feeling or emotion,move much mind numb,3,8.710865,5.117556,3,8.098298,7.4081674,2,4.117633,4.6662636
29,29,I am being annoying.,emotional reasoning,annoying,3,6.1685967,5.4712763,3,5.84755,8.74382,2,1.8916038,6.7897596
30,30,I'm not attractive or have a good enough personality.,"labeling,negative feeling or emotion,mind reading,personalizing",im attractive good enough personality,3,6.0159407,4.066632,3,5.334133,7.879037,2,3.1505766,5.780929
31,31,im unlovable,labeling,im unlovable,3,6.3491535,4.5296497,3,5.4824076,8.154246,2,2.3460276,5.328891
32,32,I don't have the discipline to diet.,all-or-nothing thinking,dont discipline diet,0,9.934747,5.7133718,3,9.175444,7.3955946,2,4.0663786,3.1303775
33,33,He does not appreciate anything I do for him.,"overgeneralizing,all-or-nothing thinking,blaming",appreciate anything,3,3.1099122,6.8117137,3,3.4803233,8.342003,2,0.6657282,8.237117
34,34,I'm wasting all my time,all-or-nothing thinking,im wasting time,3,8.51609,6.9976764,3,7.7572947,9.547087,2,4.0447307,6.050355
35,35,A good mother spends time with her kids on some activity every night,overgeneralizing,good mother spends time kid activity every night,3,4.1848497,8.276938,3,6.428488,5.4272137,2,0.74719083,4.814582
36,36,Self worth,comparing and despairing,self worth,3,7.472822,5.238388,3,6.936625,8.210859,2,3.3120327,4.974903
37,37,I should have never worn these jeans and stick to blue ones,should statements,never worn jean stick blue one,3,5.86391,8.680281,0,9.822253,8.240822,0,3.763782,8.463881
38,38,I am not good enough for anyone.,"labeling,all-or-nothing thinking",good enough anyone,3,8.477906,6.7806673,3,7.4673963,8.929193,2,4.028834,5.737156
39,39,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"blaming,should statements",thought studied harder knew enough information would pas matter standard changed fault didnt try hard enough furious,3,9.47776,7.860069,3,10.113736,9.488048,2,6.5822835,6.423601
40,40,"I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.",disqualifying the positive,felt talent effort unrecognized company yet perfectly happy accept hard work pay deserve,3,7.75522,9.6017275,3,7.939034,11.358281,2,5.913524,5.281274
41,41,I won't find someone I can be with,"catastrophizing,all-or-nothing thinking",wont find someone,3,5.7369385,4.234434,3,4.600045,7.835716,2,3.2701113,5.484605
42,42,I'm not good enough for her.,"negative feeling or emotion,emotional reasoning",im good enough,3,4.5202613,5.1420965,3,5.2500687,6.7326856,2,3.6400392,5.989289
43,43,She doesn't love me like she used to.,"personalizing,labeling",doesnt love like used,3,4.0121393,5.183025,3,4.362347,6.673893,2,-0.4463872,6.534524
44,44,He is selfish,labeling,selfish,3,3.8048437,7.0306864,3,3.6212456,8.225785,2,0.86491144,8.072931
45,45,My grades are important and I did poorly,disqualifying the positive,grade important poorly,3,9.866964,7.704308,3,10.3422165,9.49451,2,6.7269964,6.522402
46,46,I should have been perfect,should statements,perfect,3,6.3716545,8.570759,3,9.495063,8.459494,2,4.9224434,6.8223143
47,47,She will never love me now,"fortune telling,catastrophizing,mind reading",never love,3,4.187228,5.0622487,3,4.298664,6.675887,2,-0.42145383,6.348562
48,48,Maybe she doesn't want to talk to me anymore.,"mind reading,fortune telling",maybe doesnt want talk anymore,3,3.7794385,5.451517,3,4.2629924,6.8840604,2,-0.4050971,6.8547993
49,49,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,mind reading,maybe doesnt really like much thought like maybe im awkward,3,3.8686152,5.471112,3,4.460169,7.1533756,2,-0.3786339,6.91868
50,50,My marriage is over.,catastrophizing,marriage,3,2.9156306,7.398583,3,3.3860247,7.747745,2,0.13491903,5.7719283
51,51,I am a problem.,labeling,problem,3,7.1206994,5.7329297,3,6.5322886,8.1086035,2,3.87411,5.3195953
52,52,I'm worthless,all-or-nothing thinking,im worthless,3,7.481433,5.503917,3,7.1076794,8.331362,2,3.3372226,5.034148
53,53,i have no stable identity and I dont know why or if its normal,overgeneralizing,stable identity dont know normal,3,8.658425,4.7852025,3,8.12681,7.2083898,2,2.8755193,3.379948
54,54,Why isn't this kid applying himself?,all-or-nothing thinking,isnt kid applying,3,3.732318,7.8583703,3,10.068041,9.089591,2,0.94887984,8.677772
55,55,My coworkers are making fun of me now,"mind reading,negative feeling or emotion,catastrophizing",coworkers making fun,3,5.771622,6.1485596,3,5.5060477,9.712867,2,2.9053936,7.0487084
56,56,He shouldn't have taken it without asking me first.,blaming,shouldnt taken without asking first,3,3.4836156,7.325292,3,3.4120867,8.082373,2,1.3769431,7.9280305
57,57,I'm incompetent,labeling,im incompetent,3,8.245415,7.1584654,3,7.8907075,9.313494,2,4.88906,5.745295
58,58,I am a bad writer.,all-or-nothing thinking,bad writer,3,8.966674,8.194753,3,10.104649,10.404273,1,5.244848,5.763964
59,59,Don't feel like I deserve fun/enjoyment,all-or-nothing thinking,dont feel like deserve funenjoyment,3,8.207054,5.519287,3,4.8927245,8.478352,2,2.6920464,4.7978535
60,60,They hate me.,"mind reading,negative feeling or emotion,fortune telling,magnification",hate,3,5.93719,5.9408593,3,5.8438716,8.550706,2,2.255803,6.3021054
61,61,Getting abused was my fault,disqualifying the positive,getting abused fault,3,6.202058,7.2696095,3,6.247869,7.081784,2,1.5726237,6.328481
62,62,I didn't do as good a job as I thought,disqualifying the positive,didnt good job thought,3,6.9871736,8.492024,3,8.175643,11.270085,2,5.645366,6.578634
63,63,I felt like a failure and am ashamed I made this mistake,"all-or-nothing thinking,negative feeling or emotion",felt like failure ashamed made mistake,3,7.8183618,7.476573,3,8.257603,8.848272,2,4.7995186,6.710977
64,64,Nobody cares what I have to say,overgeneralizing,nobody care say,3,6.7063823,5.2689333,3,5.6532183,7.527916,2,2.5121746,5.75272
65,65,I am a burden.,labeling,burden,3,7.240491,5.586279,3,7.295917,8.048134,2,3.8215883,5.3257713
66,66,I'll never be able to do anything,disqualifying the positive,ill never able anything,3,8.4191475,6.746835,3,8.702817,9.866756,2,4.9667315,4.446809
67,67,I am failing as a parent,"labeling,personalizing,catastrophizing",failing parent,3,4.1269183,8.097286,3,6.671114,5.6163282,2,0.8432881,4.841429
68,68,I won't get paid,"fortune telling,catastrophizing,negative feeling or emotion",wont get paid,3,9.110665,9.68206,3,8.641268,11.321997,2,5.7091637,4.2909045
69,69,I forgot something important. Again. My boss is going to kill me.,"catastrophizing,fortune telling",forgot something important bos going kill,3,7.480805,8.150588,3,7.6265664,10.632074,2,5.074609,7.8786907
70,70,I feel like a failure,labeling,feel like failure,3,8.25043,6.9280505,3,8.496786,8.562746,2,4.7761316,5.491387
71,71,why can't I ever get anything I want,all-or-nothing thinking,cant ever get anything want,3,8.027319,6.8240647,3,8.58538,9.696968,2,4.4173675,5.639628
72,72,I'm not succeeding,all-or-nothing thinking,im succeeding,3,8.751112,7.0179214,3,8.300617,8.81201,2,4.5979843,5.172215
73,73,I feel like I need to die to be happy.,disqualifying the positive,feel like need die happy,3,8.504437,5.418097,3,7.521052,7.311475,2,3.0223863,4.1489596
74,74,i am a terrible mom,negative feeling or emotion,terrible mom,3,4.273921,8.206487,3,6.497713,5.2224116,2,0.92795247,4.9181733
75,75,I am responsible for her mistakes.,blaming,responsible mistake,3,4.567491,5.406277,3,5.4722214,6.6489415,2,0.18917827,5.8486047
76,76,Why did I overact like this,catastrophizing,overact like,3,6.499653,8.207268,3,9.447793,8.984871,2,3.0370324,8.022687
77,77,He's so damn inconsiderate,labeling,he damn inconsiderate,3,3.7603674,6.9858575,3,3.7886791,8.448804,2,0.71228826,8.099662
78,78,I messed up big time.,catastrophizing,messed big time,3,6.8237586,8.192177,3,7.796459,9.7056055,2,4.782252,6.9266496
79,79,I wasn't valued as much as the other person.,personalizing,wasnt valued much person,3,7.390459,9.518512,3,7.01272,11.155159,2,1.7546275,6.649322
80,80,they should have reminded me before I forgot,should statements,reminded forgot,3,7.39339,7.974744,3,9.287817,8.709613,2,5.0842047,7.88096
81,81,I am the cause of the breakup,personalizing,cause breakup,3,4.8707123,4.7410483,3,3.9056816,7.630331,2,0.44312084,5.5188913
82,82,There was no need to even say anything it was very minor.,"magnification,negative feeling or emotion",need even say anything minor,3,6.4309688,9.056495,3,6.5574822,10.062327,2,2.0129082,7.3501453
83,83,I worried that she might break up with me and that I'd never see her again.,"catastrophizing,overgeneralizing,fortune telling,negative feeling or emotion,all-or-nothing thinking,mind reading",worried might break id never see,3,3.9415534,4.9344544,3,3.9441078,6.7291493,2,-0.6724582,6.3147564
84,84,I'm being mean to someone I love,labeling,im mean someone love,3,4.7479877,5.7415085,3,5.204656,8.464877,2,1.2511742,7.1224985
85,85,I could have done so much better,"personalizing,all-or-nothing thinking",could done much better,3,6.7176223,8.556858,3,9.302489,9.040267,2,5.1892433,6.7205634
86,86,I'm working on this as fast as I possibly can,comparing and despairing,im working fast possibly,3,8.400529,7.692762,3,8.284061,10.056238,2,5.415938,7.468656
87,87,I never get to see her anymore.,disqualifying the positive,never get see anymore,3,4.24664,5.2119813,3,4.316018,6.43897,2,-0.33783376,6.200242
88,88,they don't really like me,mind reading,dont really like,3,5.8625,6.008196,3,5.4940686,8.674232,2,2.5131292,6.4711804
89,89,Something will go wrong on my flight today,fortune telling,something go wrong flight today,3,7.095352,7.1335697,3,8.338672,10.157584,2,4.4430213,7.378186
90,90,I’ll never be able to hold a job.,catastrophizing,ill never able hold job,3,9.213975,9.021533,3,9.060757,11.143405,2,5.4178085,4.432154
91,91,"I really have to pass, I need to work.",negative feeling or emotion,really pas need work,3,8.342319,7.626093,3,9.666105,9.749604,2,6.4859066,6.0330267
92,92,He is avoiding me,"mind reading,overgeneralizing,catastrophizing",avoiding,3,3.405962,6.285355,3,3.8687878,8.923118,2,0.62661797,7.524477
93,93,I feel like a bad wife and mom,"emotional reasoning,labeling",feel like bad wife mom,3,4.2480316,8.206692,3,6.5451984,5.1563454,2,1.1634127,4.8937206
94,94,I should have made time for them.,mind reading,made time,3,7.470707,7.77052,3,9.346818,8.639095,2,4.5808682,7.6057587
95,95,I am selfish,labeling,selfish,3,6.805949,5.5884147,3,5.927422,8.011137,2,2.0957124,5.454575
96,96,They will never want to go out with me,labeling,never want go,3,5.83786,5.825442,3,5.234666,8.604774,2,2.981386,6.3865447
97,97,Everyone is more important than me,"comparing and despairing,disqualifying the positive",everyone important,3,6.6819,5.3203063,3,5.7923546,7.665448,2,2.6628451,5.580692
98,98,I just can't get moving,negative feeling or emotion,cant get moving,3,9.184321,6.4294424,3,8.251661,7.7231326,2,4.2256145,4.903607
99,99,I'm a failure and can't keep a sales person job.,"all-or-nothing thinking,labeling",im failure cant keep sale person job,3,8.95734,9.152748,3,9.023431,10.995878,2,5.376055,4.901448
100,100,I'm everything I can and I still feel like shit,disqualifying the positive,im everything still feel like shit,3,8.663254,5.67501,3,7.431368,7.728501,2,3.5411618,4.263198
101,101,I am crazy.,labeling,crazy,3,8.467403,4.240584,3,7.965169,6.2786655,2,2.8946707,2.9566107
102,102,"I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.",fortune telling,never get break every time try make positive change life something happens ruin,3,8.705998,6.1177244,3,7.6962957,7.728693,2,4.167829,4.4494667
103,103,it's all my fault,all-or-nothing thinking,fault,3,6.516033,7.363597,3,6.287189,7.155397,2,1.6388471,6.1954784
104,104,I want to die,negative feeling or emotion,want die,3,8.701516,5.3101435,3,7.4428506,7.0119085,2,3.123376,3.9190164
105,105,That I'm going to fail,catastrophizing,im going fail,3,9.638254,7.367291,3,9.125774,9.149997,2,6.177141,5.7731357
106,106,I keep failing at this,"overgeneralizing,fortune telling,all-or-nothing thinking,negative feeling or emotion,labeling,should statements,catastrophizing,magnification",keep failing,3,8.6986065,7.2264724,3,8.695718,8.654572,2,4.7737513,5.2187867
107,107,People will never perceive me as acting naturally in social situations.,"fortune telling,overgeneralizing",people never perceive acting naturally social situation,-1,6.6085763,6.7734017,3,5.6441007,9.895235,2,3.6116138,5.8336053
108,108,I'm mad at myself for being careless,"emotional reasoning,labeling,negative feeling or emotion",im mad careless,3,6.949341,8.059242,3,7.4004087,9.420401,2,4.643403,7.199073
109,109,I'm scared to present in front of other people and I panic,disqualifying the positive,im scared present front people panic,3,6.709923,7.106414,3,8.187235,6.576113,2,3.7402663,6.3211846
110,110,I made a deadline and missed it.,negative feeling or emotion,made deadline missed,3,7.8692865,8.075468,3,7.66719,10.17057,2,5.303205,7.727407
111,111,I screwed up again at work,"negative feeling or emotion,all-or-nothing thinking",screwed work,3,7.1025906,8.161104,3,7.6130037,9.925054,2,4.9347796,7.226228
112,112,I shouldn't have posted it,personalizing,shouldnt posted,3,6.0016823,8.85099,2,9.905466,8.208113,2,3.6063592,8.490425
113,113,I didn't explain this right.,overgeneralizing,didnt explain right,3,7.033314,8.2407055,3,8.497539,9.105003,2,4.8411937,6.7758327
114,114,I will never get a job.,fortune telling,never get job,3,9.227056,9.058538,3,9.185967,11.11463,2,5.554068,4.3719635
115,115,"I should have studied harder, or more efficiently.","should statements,negative feeling or emotion",studied harder efficiently,3,9.253205,7.8420424,3,10.123316,9.43138,2,6.294963,6.6393547
116,116,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,emotional reasoning,felt personal self attack needed retaliate denying attack,3,6.6140494,9.1747,3,5.8922772,9.901968,2,1.5333191,6.975577
117,117,My friend is going to be angry with me,mind reading,friend going angry,3,4.811378,6.193247,3,4.3164954,8.874663,2,0.9935364,7.1812143
118,118,I am not the kind of person that she would like to go out with.,"mind reading,all-or-nothing thinking",kind person would like go,3,5.7186146,3.8900857,3,4.701377,7.5426893,2,3.2123947,6.2110963
119,119,No one cares about me,negative feeling or emotion,one care,3,6.285493,5.1730123,3,5.5925937,7.560904,2,2.376917,5.763045
120,120,My friend doesn't like me anymore.,mind reading,friend doesnt like anymore,3,3.9091537,5.7162676,3,4.2198195,8.531772,2,0.73191863,7.1484
121,121,It must be my fault,personalizing,must fault,3,6.579191,7.4581103,3,6.5555296,7.392626,2,1.7723801,6.394493
122,122,My friends aren't interested in my game idea,"mind reading,personalizing,negative feeling or emotion,fortune telling",friend arent interested game idea,3,5.4390945,5.80101,3,5.0023584,9.690286,2,2.6377609,7.0257697
123,123,I'm annoying and oversharing,"labeling,overgeneralizing,negative feeling or emotion",im annoying oversharing,3,6.23293,5.5310125,3,5.6044493,8.674764,2,1.9878284,6.669822
124,124,I cannot trust my sister anymore.,"blaming,negative feeling or emotion,overgeneralizing",cannot trust sister anymore,3,4.4319654,6.9241924,3,5.511014,6.5001116,2,0.6310653,6.2781615
125,125,I will never become a successful writer,fortune telling,never become successful writer,3,9.191519,8.357987,3,9.76493,10.567706,1,5.389763,5.324759
126,126,I shouldn't have changed my hair,should statements,shouldnt changed hair,3,6.036031,8.647185,0,9.78537,8.258531,0,3.6567972,8.526602
127,127,I'm a fat ugly troll.,"labeling,comparing and despairing",im fat ugly troll,3,6.95491,4.6404705,3,5.4271584,7.7666435,2,3.0321765,5.3127637
128,128,I am not good at what I do.,"all-or-nothing thinking,labeling,overgeneralizing,negative feeling or emotion,mind reading,personalizing",good,3,8.545661,7.238885,3,8.209069,9.4088,2,4.580951,5.832752
129,129,I am not interesting,"labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",interesting,3,6.48116,5.0816183,3,5.9780517,9.12521,2,2.7959838,5.8822503
130,130,I'm boring,fortune telling,im boring,3,6.705448,5.0198812,3,6.0373535,9.127211,2,2.8955767,5.7046437
131,131,I have lost all hope,negative feeling or emotion,lost hope,3,8.356981,6.431987,3,7.63824,7.3224187,2,3.611059,4.49266
132,132,I don't deserve to get better.,disqualifying the positive,dont deserve get better,3,8.13186,5.998088,3,7.428422,8.467263,2,3.9329102,5.32822
133,133,My job is worthless,all-or-nothing thinking,job worthless,3,8.770237,9.301651,3,8.60198,10.86716,2,5.32098,4.819126
134,134,He shouldn't assign me a task if he doesn't trust my work.,negative feeling or emotion,shouldnt assign task doesnt trust work,3,7.491236,8.961385,3,7.3763676,10.801242,2,5.0559864,7.5422764
135,135,I am not doing well enough to warrant working at this job.,all-or-nothing thinking,well enough warrant working job,3,8.869603,9.416544,3,8.182326,10.979624,2,5.567349,4.920463
136,136,My opinions aren't valuable.,"disqualifying the positive,all-or-nothing thinking,negative feeling or emotion",opinion arent valuable,3,6.636654,5.2051,3,6.316877,9.16252,2,2.9233782,5.9662714
137,137,I can't sing.,"all-or-nothing thinking,negative feeling or emotion,fortune telling,overgeneralizing,labeling",cant sing,3,8.6256,6.8785324,3,7.672601,8.484163,2,4.282444,5.577959
138,138,Medication can be dangerous.,all-or-nothing thinking,medication dangerous,3,5.832323,6.992679,3,8.601137,6.6788664,2,2.2205179,3.5618134
139,139,I feel my friend used me.,mind reading,feel friend used,3,5.0680575,5.9230194,3,4.352005,8.832848,2,1.499606,6.545492
140,140,Grandma will be so angry at me,fortune telling,grandma angry,3,4.6527596,6.5664873,3,5.552204,5.875168,2,0.10127197,6.4316254
141,141,My partner thinks I am lazy.,mind reading,partner think lazy,3,7.927491,8.418855,3,7.183556,9.766637,2,0.23208666,8.323898
142,142,I am will have to pay for this,catastrophizing,pay,3,9.422005,9.652405,3,8.643624,10.735691,2,5.1669636,4.1616716
143,143,I could get fired.,all-or-nothing thinking,could get fired,3,9.001504,9.818573,3,8.768562,11.330324,2,6.002273,4.1426435
144,144,My boss must think I'm lazy.,mind reading,bos must think im lazy,3,8.013714,8.538341,3,7.580298,10.431183,2,4.8008485,7.9175324
145,145,I should have ordered a milder dish,should statements,ordered milder dish,2,5.260062,9.38897,2,10.172009,7.5315695,2,2.8529112,9.090899
146,146,I am not good enough.,labeling,good enough,3,8.611623,6.9474463,3,7.7983766,8.91093,2,4.119068,5.6628265
147,147,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.",personalizing,qualification experience job yet passed someone else le experience,3,7.895817,9.758275,3,7.443975,11.497778,2,6.2219224,5.3012495
148,148,I was angry because I was the better person for the job.,personalizing,angry better person job,3,7.3795395,9.621869,3,7.248635,11.217461,2,6.0280266,5.497906
149,149,Why can't they cooperate on this?,"personalizing,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,blaming",cant cooperate,3,5.9807296,7.694486,3,7.4448247,10.314405,2,5.6134896,7.479736
150,150,It was unfair that I was the one to get in trouble for defending a weaker person.,all-or-nothing thinking,unfair one get trouble defending weaker person,3,6.5639787,9.272963,3,6.221264,10.181632,2,1.860299,7.0832267
151,151,He's insulting me.,"mind reading,labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",he insulting,3,3.917293,6.348226,3,3.9263935,8.735521,2,1.1167254,7.5058355
152,152,My husband was being a jerk and not listening to me.,personalizing,husband jerk listening,3,3.097196,7.3727674,3,3.056113,8.125695,2,0.25728697,7.8809533
153,153,Does he not care what I am saying?,"overgeneralizing,personalizing,blaming",care saying,3,3.6686876,6.483215,3,3.6158648,8.719515,2,0.78721434,8.206884
154,154,What am I doing to deserve this?,emotional reasoning,deserve,3,6.8529043,6.2935834,3,5.2573256,8.208043,2,3.0696037,5.044682
155,155,I am the worst daughter in the world.,"labeling,all-or-nothing thinking,negative feeling or emotion",worst daughter world,3,4.3152423,8.085648,3,6.3081813,5.354554,2,0.68397975,5.546456
156,156,I will be stuck in middle-management for the remainder of my career.,"catastrophizing,overgeneralizing,negative feeling or emotion",stuck middlemanagement remainder career,3,9.000717,9.529306,3,9.066557,11.060921,2,5.756448,4.4093976
157,157,He is going to hurt me,catastrophizing,going hurt,3,3.3667314,6.4541774,3,3.823582,8.925066,2,1.1414361,7.7697096
158,158,Why are my friends treating me so harshly?,"negative feeling or emotion,blaming",friend treating harshly,3,5.53818,5.890916,3,5.194193,9.019416,2,2.0962484,6.4672017
159,159,I don't make a memorable impression on people.,labeling,dont make memorable impression people,3,6.5587463,6.840749,3,5.566619,10.008144,2,3.0159826,6.1456985
160,160,I feel so anxious maybe I left something turned on in the kitchen,should statements,feel anxious maybe left something turned kitchen,3,5.068496,9.712529,1,9.417777,6.570682,2,2.530933,8.991262
161,161,I worry too much,negative feeling or emotion,worry much,3,7.25628,6.967326,3,8.436548,6.846527,2,2.2134166,3.5872648
162,162,The kids will never settle down.,fortune telling,kid never settle,3,4.599998,7.938367,3,9.324636,11.089241,2,5.2170153,4.5932927
163,163,There will never be enough time to get everything done,"all-or-nothing thinking,catastrophizing,blaming",never enough time get everything done,3,8.1806345,7.650591,3,8.328103,10.049102,2,5.5117717,7.289033
164,164,I can't be a mother,emotional reasoning,cant mother,3,4.3520417,8.263475,3,6.574809,5.244929,2,0.9501295,4.852084
165,165,I am manipulative,labeling,manipulative,3,6.6609344,5.2026854,3,5.8781424,7.980894,2,1.7903545,5.5459657
166,166,I can't stop cutting myself,negative feeling or emotion,cant stop cutting,3,8.578511,4.7050433,3,7.423014,7.1299706,2,3.0010915,3.4529781
167,167,"He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.",labeling,he nice guy dont want friend he putting effort completely boring,3,3.5283527,5.8783126,3,4.1376843,8.905952,2,0.9033049,7.449468
168,168,I never do anything right,overgeneralizing,never anything right,3,7.73666,6.8531976,3,8.447243,9.394667,2,4.496247,6.0982046
169,169,This shows what a jerk I am,labeling,show jerk,3,7.1976566,7.5446663,3,6.7614822,9.938447,2,4.1531577,7.7942066
170,170,I can't bring myself to be motivated.,all-or-nothing thinking,cant bring motivated,3,9.108378,6.406892,3,8.064764,7.8914795,2,4.0591183,3.9437943
171,171,I might never get hired.,catastrophizing,might never get hired,3,9.090846,9.581827,3,9.103448,11.262789,2,5.7905364,4.338236
172,172,I will lose my job eventually.,catastrophizing,lose job eventually,3,9.148189,9.663706,3,8.872167,11.099037,2,5.7791367,4.246802
173,173,Other people are probably doing it better than me.,comparing and despairing,people probably better,3,8.684181,7.352162,3,8.883733,9.943611,2,4.8203335,6.187895
174,174,Am I insane?,labeling,insane,3,8.388904,4.3288226,3,7.9270825,6.4164867,2,2.8169549,3.0476146
175,175,I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right,negative feeling or emotion,im behind im afraid terrible grade recieve cant anything right,3,9.868818,7.585282,3,10.23665,9.32678,2,6.805878,6.498131
176,176,I feel like I will never be loved in a romantic way because I am not very pretty,emotional reasoning,feel like never loved romantic way pretty,3,6.213677,4.125043,3,5.20785,7.849923,2,3.1653378,5.568156
177,177,I'm afraid she's going to die soon.,catastrophizing,im afraid shes going die soon,3,5.1814604,6.722122,3,7.0818577,6.21135,2,1.752402,3.5644486
