,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 x,All-Distilroberta-v1 y,all-mpnet-base-v2 k-mean,all-MiniLM-L12-v2 k-mean,All-Distilroberta-v1 k-mean
13,13,I can't and never will escape this prison at my moms house,negative feeling or emotion,cant never escape prison mom house,7.8842015,2.4985876,6.8654556,7.61009,6.0264935,5.971076,2,10,0
14,14,I'm not who I want to be. I hate my appearance and my voice.,labeling,im want hate appearance voice,6.2895412,1.6776973,5.9852943,8.334395,5.483782,5.784073,4,10,2
15,15,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,emotional reasoning,scared future life sorrow breakup didnt feel light overthinking,6.4783583,3.45186,5.6729026,6.8907757,3.5765657,5.8121037,4,5,12
16,16,"If I don't sleep well one night due to panic attack, then I it will only get worse",fortune telling,dont sleep well one night due panic attack get worse,8.040143,1.9339564,6.3593354,6.6372643,3.926268,4.8130617,8,12,12
17,17,I'm a failure,disqualifying the positive,im failure,7.9637904,3.6030226,7.8398027,8.644291,7.097223,5.9288473,12,1,0
18,18,I am a hard person to love,labeling,hard person love,4.9988165,1.9938774,4.291184,9.595529,4.5454226,6.8373065,11,2,11
19,19,Someone please kill me,negative feeling or emotion,someone please kill,7.508825,1.7977488,5.8394203,7.5312757,4.4669323,5.335664,2,5,12
20,20,I hate everyone,negative feeling or emotion,hate everyone,5.5331097,2.6497293,5.3924437,8.985849,4.4564157,7.078321,6,2,11
21,21,I can't pay my bills.,negative feeling or emotion,cant pay bill,9.371497,5.1930695,8.668985,9.9400015,7.1584296,7.3242903,5,7,7
22,22,I'll screw it over,fortune telling,ill screw,8.843654,3.667082,8.895718,10.3215,8.386125,6.811895,3,7,3
23,23,"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.",negative feeling or emotion,searching brain figure didnt like made sad think id hurt feeling caused problem,3.3524969,3.6146498,3.0578525,10.020398,2.245717,7.367307,7,0,4
24,24,Fuck you,negative feeling or emotion,fuck,5.7980046,2.1664839,5.758207,8.205437,4.482917,5.8201246,4,5,12
25,25,I will get a bad grade.,"fortune telling,catastrophizing,all-or-nothing thinking",get bad grade,9.1842985,3.5179245,9.360384,8.164323,8.616375,6.5839496,1,11,3
26,26,Everything driving me nuts...,blaming,everything driving nut,7.1179543,2.40587,7.2482424,7.7368283,6.7460227,5.194146,4,5,0
27,27,I hate myself,all-or-nothing thinking,hate,6.593047,1.8478913,5.890328,8.247659,4.8289437,5.6668377,4,5,2
28,28,Can not move have so much to do mind numb,negative feeling or emotion,move much mind numb,7.7166758,1.6529813,6.9549303,7.4778323,5.834601,5.4279604,2,5,2
29,29,I am being annoying.,emotional reasoning,annoying,5.7094116,2.7171652,5.0542407,9.102479,4.137053,7.894179,11,2,5
30,30,I'm not attractive or have a good enough personality.,"labeling,negative feeling or emotion,mind reading,personalizing",im attractive good enough personality,4.6023426,1.5648918,4.342989,9.629968,5.454792,7.150828,11,2,11
31,31,im unlovable,labeling,im unlovable,5.0923204,1.790413,4.5968738,9.477424,4.8061056,6.785053,11,2,11
32,32,I don't have the discipline to diet.,all-or-nothing thinking,dont discipline diet,9.052413,1.3463402,7.874995,6.736674,5.7122693,4.048312,8,12,2
33,33,He does not appreciate anything I do for him.,"overgeneralizing,all-or-nothing thinking,blaming",appreciate anything,2.9467158,5.517123,3.0201137,8.10194,3.1371186,8.777641,0,4,6
34,34,I'm wasting all my time,all-or-nothing thinking,im wasting time,8.01429,3.2531078,7.278287,9.844444,6.1556377,6.421426,12,3,0
35,35,A good mother spends time with her kids on some activity every night,overgeneralizing,good mother spends time kid activity every night,4.4503784,6.429559,3.5779908,6.5521913,2.445453,5.4193444,9,8,9
36,36,Self worth,comparing and despairing,self worth,6.518931,2.0286858,6.813436,8.416545,5.7747173,6.532453,4,10,0
37,37,I should have never worn these jeans and stick to blue ones,should statements,never worn jean stick blue one,6.1852818,5.420671,6.221017,10.072403,6.8957005,3.6826863,10,9,10
38,38,I am not good enough for anyone.,"labeling,all-or-nothing thinking",good enough anyone,8.015426,3.1977384,6.946884,9.068641,6.12101,6.1541386,12,10,0
39,39,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"blaming,should statements",thought studied harder knew enough information would pas matter standard changed fault didnt try hard enough furious,9.481543,4.084631,9.208553,8.264826,8.929252,6.318515,1,11,3
40,40,"I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.",disqualifying the positive,felt talent effort unrecognized company yet perfectly happy accept hard work pay deserve,8.1148615,6.245928,8.290131,11.065073,7.503428,7.9750347,10,7,7
41,41,I won't find someone I can be with,"catastrophizing,all-or-nothing thinking",wont find someone,4.445895,1.8321185,3.9396818,10.624569,5.599839,6.8929286,11,2,11
42,42,I'm not good enough for her.,"negative feeling or emotion,emotional reasoning",im good enough,3.5909786,3.2438378,3.4974213,10.372504,5.171013,7.2325916,7,0,4
43,43,She doesn't love me like she used to.,"personalizing,labeling",doesnt love like used,3.4766436,3.525572,2.831111,10.267101,1.8791062,7.1917396,7,0,4
44,44,He is selfish,labeling,selfish,3.5985017,5.2160883,3.4648237,8.192884,3.095079,8.83049,0,4,6
45,45,My grades are important and I did poorly,disqualifying the positive,grade important poorly,9.620008,3.6866305,9.287494,8.198738,9.01647,6.2682195,1,11,3
46,46,I should have been perfect,should statements,perfect,6.627285,5.3569818,6.588074,9.749176,7.3879013,4.7062855,10,9,8
47,47,She will never love me now,"fortune telling,catastrophizing,mind reading",never love,3.4702668,3.2609994,2.8034105,10.434742,1.8966594,7.1175275,7,0,4
48,48,Maybe she doesn't want to talk to me anymore.,"mind reading,fortune telling",maybe doesnt want talk anymore,3.2006247,3.8346274,2.8789604,10.04977,1.7643784,7.3578196,7,0,4
49,49,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,mind reading,maybe doesnt really like much thought like maybe im awkward,3.2633765,3.8425136,3.301017,9.988153,1.5821024,7.408341,7,0,4
50,50,My marriage is over.,catastrophizing,marriage,3.227112,5.9609866,2.2976751,8.595357,2.5502126,8.013686,0,4,4
51,51,I am a problem.,labeling,problem,6.313893,2.7296424,5.677557,8.669607,5.1312017,6.487035,4,10,0
52,52,I'm worthless,all-or-nothing thinking,im worthless,6.615977,2.2245696,6.841258,8.322224,5.8485646,6.5517673,4,10,0
53,53,i have no stable identity and I dont know why or if its normal,overgeneralizing,stable identity dont know normal,7.6941724,1.5707467,6.7508473,7.280154,4.721802,4.5528483,2,5,2
54,54,Why isn't this kid applying himself?,all-or-nothing thinking,isnt kid applying,3.9898875,5.9582195,8.968659,7.7690296,3.5249743,9.324204,9,11,9
55,55,My coworkers are making fun of me now,"mind reading,negative feeling or emotion,catastrophizing",coworkers making fun,5.2965865,3.4045815,5.2756486,10.705055,5.2444487,8.416807,6,6,5
56,56,He shouldn't have taken it without asking me first.,blaming,shouldnt taken without asking first,3.469154,5.6643143,3.2562687,8.314848,2.7791252,8.841871,0,4,6
57,57,I'm incompetent,labeling,im incompetent,7.810281,3.805537,7.367778,9.548724,7.1028547,5.7297397,12,1,0
58,58,I am a bad writer.,all-or-nothing thinking,bad writer,8.918873,4.5702333,9.573445,9.07522,7.3266077,6.360378,1,11,3
59,59,Don't feel like I deserve fun/enjoyment,all-or-nothing thinking,dont feel like deserve funenjoyment,7.101356,2.3928227,4.6408534,8.883178,5.394561,6.024376,2,2,12
60,60,They hate me.,"mind reading,negative feeling or emotion,fortune telling,magnification",hate,5.470283,2.9759238,5.3148265,9.406526,4.73148,7.7500095,6,2,5
61,61,Getting abused was my fault,disqualifying the positive,getting abused fault,6.0226817,4.2338066,5.001677,8.0230665,3.7850077,6.94391,6,8,1
62,62,I didn't do as good a job as I thought,disqualifying the positive,didnt good job thought,7.21457,5.1964483,8.460987,10.812093,8.091052,6.0322948,10,7,3
63,63,I felt like a failure and am ashamed I made this mistake,"all-or-nothing thinking,negative feeling or emotion",felt like failure ashamed made mistake,7.767234,4.1386023,7.268174,9.084586,7.312448,5.124025,12,9,8
64,64,Nobody cares what I have to say,overgeneralizing,nobody care say,5.8470488,2.2838485,4.4945636,8.686572,4.8465223,6.636946,4,2,11
65,65,I am a burden.,labeling,burden,6.364158,2.6154807,7.186213,8.28494,4.970923,6.328291,4,10,0
66,66,I'll never be able to do anything,disqualifying the positive,ill never able anything,8.30957,3.4974303,8.224329,9.482027,6.7560005,6.731768,12,1,7
67,67,I am failing as a parent,"labeling,personalizing,catastrophizing",failing parent,4.411043,6.4293146,3.8410077,6.687896,2.502145,5.530617,9,8,9
68,68,I won't get paid,"fortune telling,catastrophizing,negative feeling or emotion",wont get paid,9.461554,5.754892,8.920441,10.520186,7.4404163,7.4188714,5,7,7
69,69,I forgot something important. Again. My boss is going to kill me.,"catastrophizing,fortune telling",forgot something important bos going kill,7.6172705,5.119416,7.448704,10.984074,8.080478,4.540617,5,3,8
70,70,I feel like a failure,labeling,feel like failure,7.9099593,3.4662244,7.684077,8.651505,6.9271483,5.7260847,12,1,0
71,71,why can't I ever get anything I want,all-or-nothing thinking,cant ever get anything want,7.800643,3.1084309,7.9108253,9.332079,6.540056,5.29322,12,7,0
72,72,I'm not succeeding,all-or-nothing thinking,im succeeding,8.339444,3.3616028,7.7866435,8.706443,6.443897,5.51321,12,1,0
73,73,I feel like I need to die to be happy.,disqualifying the positive,feel like need die happy,7.484318,2.019877,6.3460846,7.9678693,4.885497,5.3029532,2,5,2
74,74,i am a terrible mom,negative feeling or emotion,terrible mom,4.648224,6.326218,3.858731,6.544526,2.5691545,5.4682755,9,8,9
75,75,I am responsible for her mistakes.,blaming,responsible mistake,3.957371,3.5979123,3.6725469,10.190971,2.5635104,6.8984594,7,8,4
76,76,Why did I overact like this,catastrophizing,overact like,6.655557,4.9994993,6.560845,9.584484,4.4422855,8.335342,10,9,10
77,77,He's so damn inconsiderate,labeling,he damn inconsiderate,3.5143397,5.307641,3.5115232,8.276261,3.022534,8.91616,0,4,6
78,78,I messed up big time.,catastrophizing,messed big time,6.9309435,4.957011,7.0263233,10.120811,7.212901,4.7453327,10,3,8
79,79,I wasn't valued as much as the other person.,personalizing,wasnt valued much person,7.839546,6.228544,7.734481,11.530211,6.668303,8.413009,10,10,1
80,80,they should have reminded me before I forgot,should statements,reminded forgot,7.234946,4.9032316,6.585809,10.032252,7.8347964,4.5716553,10,9,8
81,81,I am the cause of the breakup,personalizing,cause breakup,3.8357618,2.782089,2.304589,9.10839,3.002828,7.196048,0,4,4
82,82,There was no need to even say anything it was very minor.,"magnification,negative feeling or emotion",need even say anything minor,6.728808,6.1873674,6.618825,11.328589,6.5145965,8.812361,10,3,1
83,83,I worried that she might break up with me and that I'd never see her again.,"catastrophizing,overgeneralizing,fortune telling,negative feeling or emotion,all-or-nothing thinking,mind reading",worried might break id never see,3.1667895,3.323733,2.4674857,10.12191,2.2523758,7.455582,7,0,4
84,84,I'm being mean to someone I love,labeling,im mean someone love,4.3807006,3.8305151,4.3492165,9.369935,3.740461,7.9195724,6,2,6
85,85,I could have done so much better,"personalizing,all-or-nothing thinking",could done much better,6.804071,5.322157,6.85549,9.804688,7.67437,5.363717,10,9,8
86,86,I'm working on this as fast as I possibly can,comparing and despairing,im working fast possibly,8.361901,4.2388473,7.87271,9.992341,8.034492,5.047888,12,3,8
87,87,I never get to see her anymore.,disqualifying the positive,never get see anymore,3.5764399,3.357342,2.7308419,10.505105,1.971179,7.0815797,7,0,4
88,88,they don't really like me,mind reading,dont really like,5.3082724,3.149016,5.1306086,9.967241,4.956348,7.823576,6,6,5
89,89,Something will go wrong on my flight today,fortune telling,something go wrong flight today,7.0229726,4.0394816,7.759563,9.632007,7.2564335,4.321864,3,3,8
90,90,I’ll never be able to hold a job.,catastrophizing,ill never able hold job,9.22538,5.329718,9.055352,10.028772,7.263205,7.2198153,5,7,7
91,91,"I really have to pass, I need to work.",negative feeling or emotion,really pas need work,8.459339,4.302228,8.748814,8.562511,8.453252,6.6923523,12,11,3
92,92,He is avoiding me,"mind reading,overgeneralizing,catastrophizing",avoiding,2.9379337,4.9044676,3.173563,9.031171,3.3600345,8.219419,0,4,6
93,93,I feel like a bad wife and mom,"emotional reasoning,labeling",feel like bad wife mom,4.5042048,6.4423285,3.7842457,6.4794626,2.8582628,5.4338026,9,8,9
94,94,I should have made time for them.,mind reading,made time,7.58367,4.587392,6.708824,9.873143,7.6159935,4.545661,10,9,8
95,95,I am selfish,labeling,selfish,6.166825,2.6086924,5.1401157,8.80194,4.6293106,6.2617083,4,2,12
96,96,They will never want to go out with me,labeling,never want go,5.2607384,3.0140538,4.4900703,10.782657,5.309664,7.6098323,6,6,5
97,97,Everyone is more important than me,"comparing and despairing,disqualifying the positive",everyone important,6.003042,2.3649712,4.9292874,8.742177,4.888705,6.45903,4,2,12
98,98,I just can't get moving,negative feeling or emotion,cant get moving,8.5372925,2.6356165,7.156113,7.620557,6.1537104,5.3540697,12,10,0
99,99,I'm a failure and can't keep a sales person job.,"all-or-nothing thinking,labeling",im failure cant keep sale person job,9.00664,5.713961,8.818489,10.112541,7.262437,6.911405,5,7,7
100,100,I'm everything I can and I still feel like shit,disqualifying the positive,im everything still feel like shit,7.849635,2.2050426,6.838096,7.8834915,5.3057594,5.368243,2,10,2
101,101,I am crazy.,labeling,crazy,7.5031266,0.94003516,6.655298,6.923696,4.537677,3.995062,8,5,2
102,102,"I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.",fortune telling,never get break every time try make positive change life something happens ruin,8.114393,2.5762696,7.319839,7.9086537,6.0940447,5.347922,12,10,0
103,103,it's all my fault,all-or-nothing thinking,fault,6.313705,4.282212,5.2884874,8.375755,3.7170887,6.9250107,10,8,1
104,104,I want to die,negative feeling or emotion,want die,7.4677215,1.9375507,6.0732994,7.4773335,4.70554,5.2038918,2,5,2
105,105,That I'm going to fail,catastrophizing,im going fail,9.163582,3.391587,8.255695,8.600873,8.237083,6.6960025,1,1,3
106,106,I keep failing at this,"overgeneralizing,fortune telling,all-or-nothing thinking,negative feeling or emotion,labeling,should statements,catastrophizing,magnification",keep failing,8.333801,3.602452,7.949002,8.560946,6.8140693,5.7020516,12,1,0
107,107,People will never perceive me as acting naturally in social situations.,"fortune telling,overgeneralizing",people never perceive acting naturally social situation,6.1501045,3.763222,5.7079577,10.298537,6.113565,7.2163467,6,6,7
108,108,I'm mad at myself for being careless,"emotional reasoning,labeling,negative feeling or emotion",im mad careless,7.0012884,4.7547092,6.745705,9.9464445,7.3597345,4.574895,10,3,8
109,109,I'm scared to present in front of other people and I panic,disqualifying the positive,im scared present front people panic,6.8145056,3.8793898,5.6038294,6.504988,5.913414,7.522358,3,12,5
110,110,I made a deadline and missed it.,negative feeling or emotion,made deadline missed,8.031279,4.7990274,7.310611,10.484167,8.050823,4.7875433,5,3,8
111,111,I screwed up again at work,"negative feeling or emotion,all-or-nothing thinking",screwed work,7.1726294,5.0517216,7.137804,10.268839,7.665809,4.792132,10,3,8
112,112,I shouldn't have posted it,personalizing,shouldnt posted,6.4528265,5.6111546,6.2600107,9.899123,6.832453,3.9228394,10,9,10
113,113,I didn't explain this right.,overgeneralizing,didnt explain right,7.0061736,4.809409,7.0176177,9.44058,7.1975617,5.0244174,12,1,8
114,114,I will never get a job.,fortune telling,never get job,9.209133,5.449321,9.156549,9.995446,7.3099494,7.1783533,5,7,7
115,115,"I should have studied harder, or more efficiently.","should statements,negative feeling or emotion",studied harder efficiently,9.301371,4.141598,9.234123,8.4229765,8.722533,5.9930086,1,11,3
116,116,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,emotional reasoning,felt personal self attack needed retaliate denying attack,6.959461,6.306768,6.0116057,11.300138,6.3191094,8.693925,10,6,1
117,117,My friend is going to be angry with me,mind reading,friend going angry,4.368276,4.2232943,3.6673524,9.133937,3.5760467,7.9835405,6,4,6
118,118,I am not the kind of person that she would like to go out with.,"mind reading,all-or-nothing thinking",kind person would like go,4.039497,1.6954089,3.8148074,10.4882,5.195073,7.5160737,11,0,11
119,119,No one cares about me,negative feeling or emotion,one care,5.7478285,2.394953,4.4555793,8.629793,4.7450767,6.581376,4,2,11
120,120,My friend doesn't like me anymore.,mind reading,friend doesnt like anymore,3.3392923,3.8617442,3.1994872,9.483661,3.2807975,7.788372,7,0,6
121,121,It must be my fault,personalizing,must fault,6.456313,4.3914847,6.04929,8.902369,3.8872051,6.862381,10,8,1
122,122,My friends aren't interested in my game idea,"mind reading,personalizing,negative feeling or emotion,fortune telling",friend arent interested game idea,4.8524117,3.2937796,4.9750433,10.416008,5.0976205,8.171197,6,6,5
123,123,I'm annoying and oversharing,"labeling,overgeneralizing,negative feeling or emotion",im annoying oversharing,5.762382,2.7177126,5.019888,9.262001,4.2795453,7.7804265,11,2,5
124,124,I cannot trust my sister anymore.,"blaming,negative feeling or emotion,overgeneralizing",cannot trust sister anymore,4.3550997,4.976368,4.0957294,7.8828125,2.4669201,6.474708,9,8,6
125,125,I will never become a successful writer,fortune telling,never become successful writer,9.0751295,4.707072,9.299455,9.451946,7.238228,6.65781,1,7,7
126,126,I shouldn't have changed my hair,should statements,shouldnt changed hair,6.2954955,5.3362713,6.094548,10.037593,6.8891115,3.7427266,10,9,10
127,127,I'm a fat ugly troll.,"labeling,comparing and despairing",im fat ugly troll,5.730243,1.6623406,4.2334085,9.515003,5.2355833,6.5097556,4,2,11
128,128,I am not good at what I do.,"all-or-nothing thinking,labeling,overgeneralizing,negative feeling or emotion,mind reading,personalizing",good,8.259452,3.5610347,7.71745,9.156609,6.46923,5.8039255,12,1,0
129,129,I am not interesting,"labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",interesting,5.4484935,2.130923,5.1062603,9.596256,5.3544054,7.255981,11,2,11
130,130,I'm boring,fortune telling,im boring,5.6931996,2.1235247,5.270235,9.461362,5.29636,7.0244784,4,2,11
131,131,I have lost all hope,negative feeling or emotion,lost hope,7.715527,2.982931,6.5080376,7.8734016,4.972803,5.276408,12,5,2
132,132,I don't deserve to get better.,disqualifying the positive,dont deserve get better,7.474926,2.523287,6.9845166,8.723157,5.9572325,6.069987,2,10,0
133,133,My job is worthless,all-or-nothing thinking,job worthless,8.923476,5.683667,8.572279,10.109054,6.9109,7.119881,5,7,7
134,134,He shouldn't assign me a task if he doesn't trust my work.,negative feeling or emotion,shouldnt assign task doesnt trust work,7.6879225,5.811203,7.534218,11.201086,8.395179,5.091725,10,3,8
135,135,I am not doing well enough to warrant working at this job.,all-or-nothing thinking,well enough warrant working job,9.233059,5.7462792,8.187364,10.615114,7.1309457,7.076019,5,7,7
136,136,My opinions aren't valuable.,"disqualifying the positive,all-or-nothing thinking,negative feeling or emotion",opinion arent valuable,5.6625504,2.2351713,5.6220636,9.112977,5.815928,7.334167,4,10,5
137,137,I can't sing.,"all-or-nothing thinking,negative feeling or emotion,fortune telling,overgeneralizing,labeling",cant sing,8.237583,3.3869722,6.9885993,8.83665,6.392958,5.879061,12,10,0
138,138,Medication can be dangerous.,all-or-nothing thinking,medication dangerous,5.739276,4.7497897,5.924285,6.28913,3.847485,4.6889834,3,12,12
139,139,I feel my friend used me.,mind reading,feel friend used,4.5836053,4.0878515,3.7667677,9.20227,3.7288966,7.44502,0,0,1
140,140,Grandma will be so angry at me,fortune telling,grandma angry,4.387629,4.574721,3.9618635,7.1883187,1.8593365,6.4046793,7,8,4
141,141,My partner thinks I am lazy.,mind reading,partner think lazy,7.8091745,4.851147,3.0455463,7.8863983,2.1947281,8.487856,5,4,6
142,142,I am will have to pay for this,catastrophizing,pay,9.670292,5.4007087,8.751904,10.00115,6.9113054,7.635343,5,7,7
143,143,I could get fired.,all-or-nothing thinking,could get fired,9.48385,5.852691,9.062901,10.357986,7.479031,7.7474833,5,7,7
144,144,My boss must think I'm lazy.,mind reading,bos must think im lazy,7.9546266,5.0018625,7.5018024,10.864903,7.9709973,4.6800065,5,3,8
145,145,I should have ordered a milder dish,should statements,ordered milder dish,5.8300776,6.252317,7.7652817,5.9028025,5.9450355,2.9390814,3,9,10
146,146,I am not good enough.,labeling,good enough,8.269822,3.4036417,7.174954,9.036147,6.14244,6.0969243,12,10,0
147,147,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.",personalizing,qualification experience job yet passed someone else le experience,8.306075,6.469719,7.989169,11.540777,7.566774,8.271402,5,3,7
148,148,I was angry because I was the better person for the job.,personalizing,angry better person job,7.818631,6.4330564,7.7577443,11.500008,7.375942,8.340222,10,3,7
149,149,Why can't they cooperate on this?,"personalizing,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,blaming",cant cooperate,5.623471,4.4236884,7.30715,10.746533,8.484714,5.3951426,6,3,8
150,150,It was unfair that I was the one to get in trouble for defending a weaker person.,all-or-nothing thinking,unfair one get trouble defending weaker person,7.054127,6.3805165,6.463564,11.546845,6.561651,8.694412,10,6,1
151,151,He's insulting me.,"mind reading,labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",he insulting,3.3350024,4.750131,3.5744631,8.92224,3.597551,8.350501,0,4,6
152,152,My husband was being a jerk and not listening to me.,personalizing,husband jerk listening,3.4121428,5.8138103,2.5816596,8.282497,2.4449017,8.500762,0,4,6
153,153,Does he not care what I am saying?,"overgeneralizing,personalizing,blaming",care saying,3.1338658,4.8604417,3.3142025,8.554251,3.1260045,8.671226,0,4,6
154,154,What am I doing to deserve this?,emotional reasoning,deserve,6.22908,3.7926557,4.5887003,9.099811,5.585358,6.109175,6,2,12
155,155,I am the worst daughter in the world.,"labeling,all-or-nothing thinking,negative feeling or emotion",worst daughter world,4.721862,6.0607805,3.9712029,6.591217,2.4258218,5.718588,9,8,9
156,156,I will be stuck in middle-management for the remainder of my career.,"catastrophizing,overgeneralizing,negative feeling or emotion",stuck middlemanagement remainder career,9.351486,5.8844986,8.886836,10.159075,7.4184165,7.52783,5,7,7
157,157,He is going to hurt me,catastrophizing,going hurt,2.7390082,5.1414075,3.4159763,8.691958,3.5049338,8.447645,0,4,6
158,158,Why are my friends treating me so harshly?,"negative feeling or emotion,blaming",friend treating harshly,5.0227866,3.3849068,4.7931294,9.972064,4.478416,7.721375,6,6,5
159,159,I don't make a memorable impression on people.,labeling,dont make memorable impression people,5.8616257,3.8047607,5.4960766,10.731031,5.573247,7.565307,6,6,5
160,160,I feel so anxious maybe I left something turned on in the kitchen,should statements,feel anxious maybe left something turned kitchen,5.900304,6.6372085,6.646158,5.778532,5.5338697,3.0237393,3,12,10
161,161,I worry too much,negative feeling or emotion,worry much,6.9661736,4.091513,5.928594,6.5320716,3.9783826,4.9655876,8,12,12
162,162,The kids will never settle down.,fortune telling,kid never settle,4.752082,6.1074805,9.103039,9.800289,6.831392,6.8204727,9,7,7
163,163,There will never be enough time to get everything done,"all-or-nothing thinking,catastrophizing,blaming",never enough time get everything done,8.082938,4.3425107,7.8464746,9.957799,7.989895,5.159018,12,3,8
164,164,I can't be a mother,emotional reasoning,cant mother,4.636947,6.379045,3.728002,6.3875966,2.6013916,5.4082413,9,8,9
165,165,I am manipulative,labeling,manipulative,5.7683053,2.4684517,5.0286274,8.870249,3.6763532,6.979587,4,2,12
166,166,I can't stop cutting myself,negative feeling or emotion,cant stop cutting,7.4546065,1.4908001,6.223426,7.4746094,4.5026026,4.696111,2,5,2
167,167,"He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.",labeling,he nice guy dont want friend he putting effort completely boring,2.9262216,4.4002194,3.2579956,9.1801815,3.390933,8.035524,0,4,6
168,168,I never do anything right,overgeneralizing,never anything right,7.5087466,3.5492878,7.4141135,9.301804,6.714057,5.1191654,12,1,0
169,169,This shows what a jerk I am,labeling,show jerk,7.2130604,4.4795303,6.480165,10.632229,7.542241,3.9610496,3,3,8
170,170,I can't bring myself to be motivated.,all-or-nothing thinking,cant bring motivated,8.554567,2.7136493,7.5382066,7.7471576,5.907492,4.9104257,12,10,2
171,171,I might never get hired.,catastrophizing,might never get hired,9.328096,5.834802,9.2114725,10.20718,7.5426583,7.4627423,5,7,7
172,172,I will lose my job eventually.,catastrophizing,lose job eventually,9.5409155,5.7383986,8.986753,10.163831,7.409061,7.5656295,5,7,7
173,173,Other people are probably doing it better than me.,comparing and despairing,people probably better,8.4737625,3.8178298,8.3928585,9.615718,6.9637933,5.4459815,12,11,0
174,174,Am I insane?,labeling,insane,7.36263,1.0341702,6.6100535,6.9678164,4.508819,4.0052233,2,5,2
175,175,I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right,negative feeling or emotion,im behind im afraid terrible grade recieve cant anything right,9.536125,3.614312,9.021086,8.137391,9.142154,6.328082,1,11,3
176,176,I feel like I will never be loved in a romantic way because I am not very pretty,emotional reasoning,feel like never loved romantic way pretty,4.7543488,1.6068637,4.261075,9.765376,5.384638,6.8604975,11,2,11
177,177,I'm afraid she's going to die soon.,catastrophizing,im afraid shes going die soon,5.0615315,4.766992,5.261316,6.621503,3.3805244,5.0671725,3,12,12
