,thought,original_label,cleaned_thought
28,Can not move have so much to do mind numb,negative feeling or emotion,move much mind numb
29,I am being annoying.,emotional reasoning,annoying
30,I'm not attractive or have a good enough personality.,"labeling,negative feeling or emotion,mind reading,personalizing",im attractive good enough personality
31,im unlovable,labeling,im unlovable
32,I don't have the discipline to diet.,all-or-nothing thinking,dont discipline diet
33,He does not appreciate anything I do for him.,"overgeneralizing,all-or-nothing thinking,blaming",appreciate anything
34,I'm wasting all my time,all-or-nothing thinking,im wasting time
35,A good mother spends time with her kids on some activity every night,overgeneralizing,good mother spends time kid activity every night
36,Self worth,comparing and despairing,self worth
37,I should have never worn these jeans and stick to blue ones,should statements,never worn jean stick blue one
38,I am not good enough for anyone.,"labeling,all-or-nothing thinking",good enough anyone
39,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"blaming,should statements",thought studied harder knew enough information would pas matter standard changed fault didnt try hard enough furious
40,"I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.",disqualifying the positive,felt talent effort unrecognized company yet perfectly happy accept hard work pay deserve
41,I won't find someone I can be with,"catastrophizing,all-or-nothing thinking",wont find someone
42,I'm not good enough for her.,"negative feeling or emotion,emotional reasoning",im good enough
43,She doesn't love me like she used to.,"personalizing,labeling",doesnt love like used
44,He is selfish,labeling,selfish
45,My grades are important and I did poorly,disqualifying the positive,grade important poorly
46,I should have been perfect,should statements,perfect
47,She will never love me now,"fortune telling,catastrophizing,mind reading",never love
48,Maybe she doesn't want to talk to me anymore.,"mind reading,fortune telling",maybe doesnt want talk anymore
49,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,mind reading,maybe doesnt really like much thought like maybe im awkward
50,My marriage is over.,catastrophizing,marriage
51,I am a problem.,labeling,problem
52,I'm worthless,all-or-nothing thinking,im worthless
53,i have no stable identity and I dont know why or if its normal,overgeneralizing,stable identity dont know normal
54,Why isn't this kid applying himself?,all-or-nothing thinking,isnt kid applying
55,My coworkers are making fun of me now,"mind reading,negative feeling or emotion,catastrophizing",coworkers making fun
56,He shouldn't have taken it without asking me first.,blaming,shouldnt taken without asking first
57,I'm incompetent,labeling,im incompetent
58,I am a bad writer.,all-or-nothing thinking,bad writer
59,Don't feel like I deserve fun/enjoyment,all-or-nothing thinking,dont feel like deserve funenjoyment
60,They hate me.,"mind reading,negative feeling or emotion,fortune telling,magnification",hate
61,Getting abused was my fault,disqualifying the positive,getting abused fault
62,I didn't do as good a job as I thought,disqualifying the positive,didnt good job thought
63,I felt like a failure and am ashamed I made this mistake,"all-or-nothing thinking,negative feeling or emotion",felt like failure ashamed made mistake
64,Nobody cares what I have to say,overgeneralizing,nobody care say
65,I am a burden.,labeling,burden
66,I'll never be able to do anything,disqualifying the positive,ill never able anything
67,I am failing as a parent,"labeling,personalizing,catastrophizing",failing parent
68,I won't get paid,"fortune telling,catastrophizing,negative feeling or emotion",wont get paid
69,I forgot something important. Again. My boss is going to kill me.,"catastrophizing,fortune telling",forgot something important bos going kill
70,I feel like a failure,labeling,feel like failure
71,why can't I ever get anything I want,all-or-nothing thinking,cant ever get anything want
72,I'm not succeeding,all-or-nothing thinking,im succeeding
73,I feel like I need to die to be happy.,disqualifying the positive,feel like need die happy
74,i am a terrible mom,negative feeling or emotion,terrible mom
75,I am responsible for her mistakes.,blaming,responsible mistake
76,Why did I overact like this,catastrophizing,overact like
77,He's so damn inconsiderate,labeling,he damn inconsiderate
78,I messed up big time.,catastrophizing,messed big time
79,I wasn't valued as much as the other person.,personalizing,wasnt valued much person
80,they should have reminded me before I forgot,should statements,reminded forgot
81,I am the cause of the breakup,personalizing,cause breakup
82,There was no need to even say anything it was very minor.,"magnification,negative feeling or emotion",need even say anything minor
83,I worried that she might break up with me and that I'd never see her again.,"catastrophizing,overgeneralizing,fortune telling,negative feeling or emotion,all-or-nothing thinking,mind reading",worried might break id never see
84,I'm being mean to someone I love,labeling,im mean someone love
85,I could have done so much better,"personalizing,all-or-nothing thinking",could done much better
86,I'm working on this as fast as I possibly can,comparing and despairing,im working fast possibly
87,I never get to see her anymore.,disqualifying the positive,never get see anymore
88,they don't really like me,mind reading,dont really like
89,Something will go wrong on my flight today,fortune telling,something go wrong flight today
90,I’ll never be able to hold a job.,catastrophizing,ill never able hold job
91,"I really have to pass, I need to work.",negative feeling or emotion,really pas need work
92,He is avoiding me,"mind reading,overgeneralizing,catastrophizing",avoiding
93,I feel like a bad wife and mom,"emotional reasoning,labeling",feel like bad wife mom
94,I should have made time for them.,mind reading,made time
95,I am selfish,labeling,selfish
96,They will never want to go out with me,labeling,never want go
97,Everyone is more important than me,"comparing and despairing,disqualifying the positive",everyone important
98,I just can't get moving,negative feeling or emotion,cant get moving
99,I'm a failure and can't keep a sales person job.,"all-or-nothing thinking,labeling",im failure cant keep sale person job
100,I'm everything I can and I still feel like shit,disqualifying the positive,im everything still feel like shit
101,I am crazy.,labeling,crazy
102,"I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.",fortune telling,never get break every time try make positive change life something happens ruin
103,it's all my fault,all-or-nothing thinking,fault
104,I want to die,negative feeling or emotion,want die
105,That I'm going to fail,catastrophizing,im going fail
106,I keep failing at this,"overgeneralizing,fortune telling,all-or-nothing thinking,negative feeling or emotion,labeling,should statements,catastrophizing,magnification",keep failing
107,People will never perceive me as acting naturally in social situations.,"fortune telling,overgeneralizing",people never perceive acting naturally social situation
108,I'm mad at myself for being careless,"emotional reasoning,labeling,negative feeling or emotion",im mad careless
109,I'm scared to present in front of other people and I panic,disqualifying the positive,im scared present front people panic
110,I made a deadline and missed it.,negative feeling or emotion,made deadline missed
111,I screwed up again at work,"negative feeling or emotion,all-or-nothing thinking",screwed work
112,I shouldn't have posted it,personalizing,shouldnt posted
113,I didn't explain this right.,overgeneralizing,didnt explain right
114,I will never get a job.,fortune telling,never get job
115,"I should have studied harder, or more efficiently.","should statements,negative feeling or emotion",studied harder efficiently
116,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,emotional reasoning,felt personal self attack needed retaliate denying attack
117,My friend is going to be angry with me,mind reading,friend going angry
118,I am not the kind of person that she would like to go out with.,"mind reading,all-or-nothing thinking",kind person would like go
119,No one cares about me,negative feeling or emotion,one care
120,My friend doesn't like me anymore.,mind reading,friend doesnt like anymore
121,It must be my fault,personalizing,must fault
122,My friends aren't interested in my game idea,"mind reading,personalizing,negative feeling or emotion,fortune telling",friend arent interested game idea
123,I'm annoying and oversharing,"labeling,overgeneralizing,negative feeling or emotion",im annoying oversharing
124,I cannot trust my sister anymore.,"blaming,negative feeling or emotion,overgeneralizing",cannot trust sister anymore
125,I will never become a successful writer,fortune telling,never become successful writer
126,I shouldn't have changed my hair,should statements,shouldnt changed hair
127,I'm a fat ugly troll.,"labeling,comparing and despairing",im fat ugly troll
128,I am not good at what I do.,"all-or-nothing thinking,labeling,overgeneralizing,negative feeling or emotion,mind reading,personalizing",good
129,I am not interesting,"labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",interesting
130,I'm boring,fortune telling,im boring
131,I have lost all hope,negative feeling or emotion,lost hope
132,I don't deserve to get better.,disqualifying the positive,dont deserve get better
133,My job is worthless,all-or-nothing thinking,job worthless
134,He shouldn't assign me a task if he doesn't trust my work.,negative feeling or emotion,shouldnt assign task doesnt trust work
135,I am not doing well enough to warrant working at this job.,all-or-nothing thinking,well enough warrant working job
136,My opinions aren't valuable.,"disqualifying the positive,all-or-nothing thinking,negative feeling or emotion",opinion arent valuable
137,I can't sing.,"all-or-nothing thinking,negative feeling or emotion,fortune telling,overgeneralizing,labeling",cant sing
138,Medication can be dangerous.,all-or-nothing thinking,medication dangerous
139,I feel my friend used me.,mind reading,feel friend used
140,Grandma will be so angry at me,fortune telling,grandma angry
141,My partner thinks I am lazy.,mind reading,partner think lazy
142,I am will have to pay for this,catastrophizing,pay
143,I could get fired.,all-or-nothing thinking,could get fired
144,My boss must think I'm lazy.,mind reading,bos must think im lazy
145,I should have ordered a milder dish,should statements,ordered milder dish
146,I am not good enough.,labeling,good enough
147,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.",personalizing,qualification experience job yet passed someone else le experience
148,I was angry because I was the better person for the job.,personalizing,angry better person job
149,Why can't they cooperate on this?,"personalizing,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,blaming",cant cooperate
150,It was unfair that I was the one to get in trouble for defending a weaker person.,all-or-nothing thinking,unfair one get trouble defending weaker person
151,He's insulting me.,"mind reading,labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",he insulting
152,My husband was being a jerk and not listening to me.,personalizing,husband jerk listening
153,Does he not care what I am saying?,"overgeneralizing,personalizing,blaming",care saying
154,What am I doing to deserve this?,emotional reasoning,deserve
155,I am the worst daughter in the world.,"labeling,all-or-nothing thinking,negative feeling or emotion",worst daughter world
156,I will be stuck in middle-management for the remainder of my career.,"catastrophizing,overgeneralizing,negative feeling or emotion",stuck middlemanagement remainder career
157,He is going to hurt me,catastrophizing,going hurt
158,Why are my friends treating me so harshly?,"negative feeling or emotion,blaming",friend treating harshly
159,I don't make a memorable impression on people.,labeling,dont make memorable impression people
160,I feel so anxious maybe I left something turned on in the kitchen,should statements,feel anxious maybe left something turned kitchen
161,I worry too much,negative feeling or emotion,worry much
162,The kids will never settle down.,fortune telling,kid never settle
163,There will never be enough time to get everything done,"all-or-nothing thinking,catastrophizing,blaming",never enough time get everything done
164,I can't be a mother,emotional reasoning,cant mother
165,I am manipulative,labeling,manipulative
166,I can't stop cutting myself,negative feeling or emotion,cant stop cutting
167,"He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.",labeling,he nice guy dont want friend he putting effort completely boring
168,I never do anything right,overgeneralizing,never anything right
169,This shows what a jerk I am,labeling,show jerk
170,I can't bring myself to be motivated.,all-or-nothing thinking,cant bring motivated
171,I might never get hired.,catastrophizing,might never get hired
172,I will lose my job eventually.,catastrophizing,lose job eventually
173,Other people are probably doing it better than me.,comparing and despairing,people probably better
174,Am I insane?,labeling,insane
175,I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right,negative feeling or emotion,im behind im afraid terrible grade recieve cant anything right
176,I feel like I will never be loved in a romantic way because I am not very pretty,emotional reasoning,feel like never loved romantic way pretty
177,I'm afraid she's going to die soon.,catastrophizing,im afraid shes going die soon
178,after 30 years since I first started learning how to cook I am still ruining meals.,"disqualifying the positive,negative feeling or emotion,magnification",year since first started learning cook still ruining meal
179,I am undesirable,"labeling,negative feeling or emotion,all-or-nothing thinking,overgeneralizing",undesirable
180,I made my sister sad,"mind reading,personalizing,overgeneralizing",made sister sad
181,My co-worker is better than me.,"comparing and despairing,personalizing",coworker better
182,My parents are judging me,emotional reasoning,parent judging
183,"what if i have nothing to say, what if we don't click anymore, what if this goes badly.",fortune telling,nothing say dont click anymore go badly
184,I'm going to have to endure some physical and financial pain.,catastrophizing,im going endure physical financial pain
185,I feel guilty,emotional reasoning,feel guilty
186,I must not have been doing a good job,negative feeling or emotion,must good job
187,This work is a failure,all-or-nothing thinking,work failure
188,I am incapable of doing anything right.,"all-or-nothing thinking,labeling",incapable anything right
189,I'm feeling sad,negative feeling or emotion,im feeling sad
190,he didn't respect our initial commitment,negative feeling or emotion,didnt respect initial commitment
191,"If I text my boyfriend too much, he will get bored of me.",fortune telling,text boyfriend much get bored
192,I'm really bad at everything I do.,"all-or-nothing thinking,labeling",im really bad everything
193,He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,none,doesnt think im capable watching kid cleaning kitchen time
194,I thought he was cheating on me,mind reading,thought cheating
195,I am so angry that he is such a hypocrite. He doesn't realize he is guilty of the same things he explodes about.,negative feeling or emotion,angry hypocrite doesnt realize guilty thing explodes
196,Never finding love,all-or-nothing thinking,never finding love
197,Am I doing enough,"negative feeling or emotion,magnification",enough
198,she doesnt want to share things with me,overgeneralizing,doesnt want share thing
199,"If I cannot control her now, I have lost her perhaps forever","overgeneralizing,catastrophizing",cannot control lost perhaps forever
200,She ruined my project,blaming,ruined project
201,worry about a disabled family member,negative feeling or emotion,worry disabled family member
202,I can't do anything right. I am a disappointment.,fortune telling,cant anything right disappointment
203,I'm worried about my future,fortune telling,im worried future
204,My partner will leave me if my depression doesn't go away soon.,fortune telling,partner leave depression doesnt go away soon
205,I get upset when people cant keep there promises. The plans he made were not that critical. Why put me in a tough bind,"blaming,personalizing,negative feeling or emotion",get upset people cant keep promise plan made critical put tough bind
206,He only cares about himself.,"disqualifying the positive,overgeneralizing",care
207,I'm completely self-centered and thoughtless,all-or-nothing thinking,im completely selfcentered thoughtless
208,I'm self-centered,labeling,im selfcentered
209,I bet all my friends will be amazing at bowling apart from me,mind reading,bet friend amazing bowling apart
210,My girlfriend is hiding something from me.,emotional reasoning,girlfriend hiding something
211,This is going to cause us to break up.,catastrophizing,going cause u break
212,My girlfriend will leave me.,"fortune telling,catastrophizing,mind reading",girlfriend leave
213,I'm not attractive enough.,"mind reading,personalizing",im attractive enough
214,She didn't like me anymore.,"mind reading,negative feeling or emotion,all-or-nothing thinking,overgeneralizing,labeling,fortune telling,personalizing",didnt like anymore
215,Why can't I have fun? Why must I stay home all the time?,"overgeneralizing,personalizing",cant fun must stay home time
216,I am scared my girlfriend is going to break up with me because I dont do much for her.,all-or-nothing thinking,scared girlfriend going break dont much
217,I am scared something bad will happen to the people I love,"catastrophizing,fortune telling",scared something bad happen people love
218,I'm scared of losing loved ones,catastrophizing,im scared losing loved one
219,I've been practicing but I'm not making any progress,all-or-nothing thinking,ive practicing im making progress
220,they are saying things in front of me that they don't want me to know or understand,"negative feeling or emotion,overgeneralizing",saying thing front dont want know understand
221,I do so much around here and you are harping about the cutting board?,blaming,much around harping cutting board
222,The thought that he does not care about me anymore.,"mind reading,overgeneralizing,catastrophizing",thought care anymore
223,I don't know why I keep trying. I should just give up. Surrender. Sleep forever.,catastrophizing,dont know keep trying give surrender sleep forever
224,My husband doesn't want to spend time with me.,"mind reading,overgeneralizing",husband doesnt want spend time
225,"Worthlessness, abandonment, grief",negative feeling or emotion,worthlessness abandonment grief
226,I would not find a job,disqualifying the positive,would find job
227,What if I never see her again?,catastrophizing,never see
228,I deserve more than the other co-worker to get more responsibilities.,personalizing,deserve coworker get responsibility
229,frustration,disqualifying the positive,frustration
230,They are so wrong and I'm so pissed but I know I can't prove it and they will probably win because they won't ever admit it and I have to do something right NOW! or I might lose my dogs.,catastrophizing,wrong im pissed know cant prove probably win wont ever admit something right might lose dog
231,I did something wrong,mind reading,something wrong
232,I wanted her to pay attention and not interrupt me.,personalizing,wanted pay attention interrupt
233,I don’t feel like I’m worth it.,"all-or-nothing thinking,magnification",dont feel like im worth
234,I don't matter.,"all-or-nothing thinking,labeling,negative feeling or emotion",dont matter
235,My sister in law thinks I am worthless,"mind reading,negative feeling or emotion",sister law think worthless
236,I hate myself and im a fat pig,comparing and despairing,hate im fat pig
237,I was not a good enough sister,"labeling,overgeneralizing",good enough sister
238,I'm a bad mom,labeling,im bad mom
239,He might hit me,none,might hit
240,I am not good enough for him.,"labeling,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,mind reading,personalizing,catastrophizing",good enough
241,"I feel horrible about it, I must be a bad parent",emotional reasoning,feel horrible must bad parent
242,The anger I felt because some members of the family do not like me so they refused to let me know about my beloved uncle.,mind reading,anger felt member family like refused let know beloved uncle
243,She doesn't trust me.,mind reading,doesnt trust
244,Am I not worth her time?,all-or-nothing thinking,worth time
245,I'm going to be alone,catastrophizing,im going alone
246,i was letting her down and she felt pressured by my actions,mind reading,letting felt pressured action
247,"I'm busy doing something else, it's not like I haven't tried to get to that chore!","negative feeling or emotion,emotional reasoning,blaming",im busy something else like havent tried get chore
248,I am ugly,labeling,ugly
249,Having done things wrong,personalizing,done thing wrong
250,I have at least four normal days of plot work needing done in three days,"negative feeling or emotion,comparing and despairing,all-or-nothing thinking",least four normal day plot work needing done three day
251,I'm not going to live up to my expectations for my future,catastrophizing,im going live expectation future
252,I can't get through this,emotional reasoning,cant get
253,I felt left out and singled out in the office and wondered if the person had a personal grudge against me.,"mind reading,personalizing",felt left singled office wondered person personal grudge
254,I never get what I want,overgeneralizing,never get want
255,"I felt the criticism was unfair because they didn't take into account the entire situation, especially considering how the patient was behaving towards me.",personalizing,felt criticism unfair didnt take account entire situation especially considering patient behaving towards
256,I feel like people out there try to take advantage of me and also betray me .,mind reading,feel like people try take advantage also betray
257,I am a bad person.,"labeling,negative feeling or emotion",bad person
258,I might be having a serious illness,catastrophizing,might serious illness
259,I guess he doesn't like me anymore,mind reading,guess doesnt like anymore
260,I feel like an outcast,emotional reasoning,feel like outcast
261,You hardly communicate what you need at all. How am I supposed to help?,"personalizing,blaming,negative feeling or emotion",hardly communicate need supposed help
262,I hate Republicans,negative feeling or emotion,hate republican
263,I didn't get the job,fortune telling,didnt get job
264,I am unable to do this simply damned thing.,"all-or-nothing thinking,negative feeling or emotion,labeling",unable simply damned thing
265,Why would you wait until the last minute to ask me this.,blaming,would wait last minute ask
266,I feel unloved and unwanted by my mother and siblings,all-or-nothing thinking,feel unloved unwanted mother sibling
267,"I worked hard on these jobs, and was sure I had done well.",negative feeling or emotion,worked hard job sure done well
268,She needs to stop discussing this.,"negative feeling or emotion,blaming,mind reading",need stop discussing
269,Does nobody want to talk to me?,"mind reading,personalizing",nobody want talk
270,Why is it still messed up?,all-or-nothing thinking,still messed
271,Would anyone care if I died?,overgeneralizing,would anyone care died
272,im not very attractive,all-or-nothing thinking,im attractive
273,I will go crazy if I don't control my racing thoughts,blaming,go crazy dont control racing thought
274,I am a failure,negative feeling or emotion,failure
275,I'm never going to be useful to society and it isn't worth living in because humans are extremely hard to understand,"overgeneralizing,fortune telling,negative feeling or emotion",im never going useful society isnt worth living human extremely hard understand
276,my brother is very careless as he has the feeling that there is no one to ask him as his sister is the one who is senior,none,brother careless feeling one ask sister one senior
277,i am not able to control my eating habits,negative feeling or emotion,able control eating habit
278,why don't i have friends? why am i not social? SIGH!,all-or-nothing thinking,dont friend social sigh
279,im ready to die,"emotional reasoning,disqualifying the positive",im ready die
280,i'm not good enough,all-or-nothing thinking,im good enough
281,i cant trust people,emotional reasoning,cant trust people
282,I'm so exhausted,negative feeling or emotion,im exhausted
283,ill never be able to find a good job,"fortune telling,catastrophizing",ill never able find good job
284,I am being disrespected,"labeling,disqualifying the positive,negative feeling or emotion",disrespected
285,maybe she doesn't like me anymore.,mind reading,maybe doesnt like anymore
286,I'm always late , Overgeneralization,im always late
287,I'm late for the meeting. Everyone will look down upon me , Mind reading,im late meeting everyone look upon
288,I'm late for the meeting. This shows what a jerk I am , Labeling,im late meeting show jerk
289,I'm late for the meeting. I'll make a fool of myself , Labeling,im late meeting ill make fool
290,I'm late for the meeting. I never do anything right , Overgeneralization,im late meeting never anything right
291,My tire is flat. I'm so stupid , Labeling,tire flat im stupid
292,My tire is flat. I should have gotten a new tire last month , Should statements,tire flat gotten new tire last month
293,My tire is flat. I must have gotten a new tire last month , Should statements,tire flat must gotten new tire last month
294,Everyone knows how disorganized and selfish I am , Mind reading,everyone know disorganized selfish
295,I'm completely self-centered and thoughtless , All-or-nothing thinking,im completely selfcentered thoughtless
296,My roommate asked me to clean the apartment. She probably hates me , Mind reading,roommate asked clean apartment probably hate
297,A good mother spends time with her kids on some activity every night , Overgeneralization,good mother spends time kid activity every night
298,I'm a total failure , All-or-nothing thinking,im total failure
299,I never do anything right , Overgeneralization,never anything right
300,I always do lousy on tests , Overgeneralization,always lousy test
301,"The test makes me nervous, so I won't do well on it ", Emotional reasoning,test make nervous wont well
302,I'll have to skip this section of the book , Fortune telling,ill skip section book
303,They made a terrible mistake by choosing me , Mind reading,made terrible mistake choosing
304,My writing is too drab , Catastrophizing,writing drab
305,They are not interesting , Labeling,interesting
306,They are boring , Labeling,boring
307,I know this is bad because I feel bored , Emotional reasoning,know bad feel bored
308,This party will be a drag , Fortune telling,party drag
309,I never get what I want , Overgeneralization,never get want
310,I'll forget what I'm supposed to say , Fortune telling,ill forget im supposed say
311,My speech isn't any good , All-or-nothing thinking,speech isnt good
312,My mind will blank out , Fortune telling,mind blank
313,I'll make a fool of myself , Labeling,ill make fool
314,What did I do to foul things up? , Personalization,foul thing
315,I'll never get this done , Fortune telling,ill never get done
316,I should be well by now , Should statements,well
317,I must be well by now , Should statements,must well
318,I'm not getting anywhere , All-or-nothing thinking,im getting anywhere
319,That improvement was a fluke , Disqualifying the positive,improvement fluke
320,I'll never get better , Catastrophizing,ill never get better
321,I just can't control myself , All-or-nothing thinking,cant control
322,I must look like a balloon , Labeling,must look like balloon
323,My dieting and jogging all week have gone down the drain , Disqualifying the positive,dieting jogging week gone drain
324,I shouldn't have eaten that , Should statements,shouldnt eaten
325,I mustn't have eaten that , Should statements,mustnt eaten
326,I'm going to pig out all weekend , Fortune telling,im going pig weekend
327,I'm a bad mother , Labeling,im bad mother
328,"The recruiters didn't call me. I haven't got the job, in the past when I was successful, I was called straight away ", Overgeneralizing,recruiter didnt call havent got job past successful called straight away
329,I will end up with no career , Catastrophizing,end career
330,I will end up with no money , Catastrophizing,end money
331,I haven't got the job , Fortune telling,havent got job
332,I spent 3 hours but was only able to make 2 slides. I've wasted all that time , Disqualifying the positive,spent hour able make slide ive wasted time
333,Looks like the customer got scared , Mind reading,look like customer got scared
334,I have made the matters worse , Personalization,made matter worse
335,A stranger looked at your dress. She thought that I look stupid , Mind reading,stranger looked dress thought look stupid
336,I should have never worn these jeans , Should statements,never worn jean
337,I must have never worn these jeans , Should statements,must never worn jean
338,I almost failed in a subject. I have ruined everything , All-or-nothing thinking,almost failed subject ruined everything
339,I only got good grades in two subjects. How could I have done so badly? , Disqualifying the positive,got good grade two subject could done badly
340,I am a failure! , Labeling,failure
341,I made a mistake in my presentation. People are going to think I am stupid , Mind reading,made mistake presentation people going think stupid
342,I'm such an idiot , Labeling,im idiot
343,The meal should have been perfect , Should statements,meal perfect
344,The meal must have been perfect , Should statements,meal must perfect
345,My friends are not replying to my messages. They obviously don't want to be friends with me , Mind reading,friend replying message obviously dont want friend
346,My friends are not talking to me. It must be my fault , Personalization,friend talking must fault
347,I posted a joke online but none of my friends reacted. I will lose my friends because of this , Catastrophizing,posted joke online none friend reacted lose friend
348,"If I am feeling this guilty right now, this must mean that I did something wrong ", Emotional reasoning,feeling guilty right must mean something wrong
349,Maybe people found my joke offensive , Mind reading,maybe people found joke offensive
350,I shouldn't have changed my hair , Should statements,shouldnt changed hair
351,Most of them didn't mention my hair , Catastrophizing,didnt mention hair
352,I am a lousy writer , Labeling,lousy writer
353,I didn't win so I must be completely rubbish , All-or-nothing thinking,didnt win must completely rubbish
354,Being a runner up means nothing , Disqualifying the positive,runner mean nothing
355,They probably made everyone a runner up to make people feel better , Mind reading,probably made everyone runner make people feel better
356,I will never become a successful writer , Fortune telling,never become successful writer
357,I am an awful person , Labeling,awful person
358,They think that I am a horrible human being , Mind reading,think horrible human
359,"I have lost my temper like this in the previous job and was called into a disciplinary meeting, I will probably lose my job over this ", Overgeneralization,lost temper like previous job called disciplinary meeting probably lose job
360,I will probably lose my job over this , Fortune telling,probably lose job
361,I feel so anxious maybe I left something turned on in the kitchen , Emotional reasoning,feel anxious maybe left something turned kitchen
362,What if something falls on the coffee maker and turns in on , Fortune telling,something fall coffee maker turn
363,What if the whole kitchen sets on fire , Catastrophizing,whole kitchen set fire
364,My entire house will burn down , Catastrophizing,entire house burn
365,I will be homeless , Catastrophizing,homeless
366,The doctor probably just didn't want to let me know , Mind reading,doctor probably didnt want let know
367,They want to see me so this must be really bad , Disqualifying the positive,want see must really bad
368,"The color in their work is so much more vibrant, mine doesn't look this good ", Comparing,color work much vibrant mine doesnt look good
369,I bet people think now that I am a rubbish artist , Mind reading,bet people think rubbish artist
370,I shouldn't have posted it , Should statements,shouldnt posted
371,Grandma is going to be so angry with me , Mind reading,grandma going angry
372,She is probably going to kick me out and never invite me over again , Catastrophizing,probably going kick never invite
373,I am such an idiot , Labeling,idiot
374,"If I couldn't make this relationship work, I will never succeed at finding a lifelong partner ", Overgeneralization,couldnt make relationship work never succeed finding lifelong partner
375,I am unlovable , Labeling,unlovable
376,"If she has cheated on me, then every next girl will probably do the same ", Overgeneralization,cheated every next girl probably
377,I can't believe I have lost her now , Disqualifying the positive,cant believe lost
378,She will not want to see me again , Fortune telling,want see
379,She must think that I am a weirdo , Mind reading,must think weirdo
380,I should have ordered a milder dish , Should statements,ordered milder dish
381,I must have ordered a milder dish , Should statements,must ordered milder dish
382,I'm late again. My boss will be furious with me like he was last week when I was late because I overslept , Overgeneralization,im late bos furious like last week late overslept
383,I will lose my job over this , Catastrophizing,lose job
384,My present was much smaller in size than the others , Comparing,present much smaller size others
385,"She said she liked it, but she said that to everyone, so she was probably just trying to be nice ", Disqualifying the positive,said liked said everyone probably trying nice
386,I made this so awkward , Emotional reasoning,made awkward
387,I will get murdered! , Catastrophizing,get murdered
388,My friend had been robbed last month and they broke in through the kitchen , Overgeneralization,friend robbed last month broke kitchen
389,Something scary is in the kitchen , Emotional reasoning,something scary kitchen
390,"I have never done bowling before, so I will definitely be bad at this ", All-or-nothing thinking,never done bowling definitely bad
391,Maybe they invited me to make fun of me , Mind reading,maybe invited make fun
392,Maybe they knew that I would make a fool of myself , Mind reading,maybe knew would make fool
393,Something bad has happened to him , Catastrophizing,something bad happened
394,Maybe he doesn't like me anymore , Mind reading,maybe doesnt like anymore
395,Maybe doesn't want to be my friend any longer , Mind reading,maybe doesnt want friend longer
